FunGeneID	FunGeneSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
A0L6W9	nifD	NZ_AFWV01000003.1_364	nifD	82	494	72	2	1	479	1	494	5.38e-287	2209
A0LH08	nifD	JAEZHY010000164.1_13	nifD	83	552	91	1	1	551	1	552	0.0	2476
A0ZAV9	nifD	REBL01000127.1_3	nifD	98	480	12	0	1	480	1	480	0.0	2492
A1AUP0	nifD	NC_008609.1_3429	nifD	100	481	0	0	1	481	1	481	0.0	2561
A1BEG7	nifD	CAIYTH010000014.1_115	nifD	90	546	52	0	1	546	1	546	0.0	2630
A1K2V1	nifD	NZ_CP022187.1_2076	nifD	93	491	34	0	1	491	1	491	2.09e-320	2453
A1KYJ7	nifD	NZ_AP012549.1_1443	nifD	98	480	9	1	1	478	1	480	0.0	2517
A1VPS3	nifD	NZ_VJZF01000003.1_1162	nifD	96	487	20	0	1	487	1	487	0.0	2521
A1WTQ5	nifD	NZ_NHSN01000005.1_20	nifD	96	488	20	0	1	488	1	488	0.0	2535
A1Z1W0	nifD	NC_012848.1_283	nifD	92	506	38	1	1	506	1	503	0.0	2516
A1Z1X8	nifD	NZ_CP053444.1_110	nifD	97	506	17	0	1	506	1	506	0.0	2641
A2V8A0	nifD	NZ_PRLH01000006.1_25	nifD	96	480	21	0	1	480	1	480	0.0	2471
A4J8B9	nifD	NZ_AWQQ01000020.1_80	nifD	84	539	86	0	1	539	1	539	0.0	2491
A4JRN8	nifD	NZ_FMYQ01000010.1_33	nifD	96	487	18	0	1	487	1	487	0.0	2531
A4SFU9	nifD	NZ_RXYK01000004.1_47	nifD	100	546	0	0	1	546	1	546	0.0	2869
A4TZV2	nifD	JAIWOG010000205.1_2	nifD	97	484	16	0	1	484	1	484	0.0	2534
A4VJ71	nifD	NZ_FNCT01000006.1_71	nifD	93	493	35	0	1	493	1	493	0.0	2497
A4WRY4	nifD	NZ_CP023548.1_731	nifD	96	493	20	0	1	493	1	493	0.0	2539
A5ENX1	nifD	NCHM01000544.1_2	nifD	96	500	22	0	1	500	1	500	0.0	2575
A5GAL1	nifD	NZ_JAHCVK010000001.1_146	nifD	97	479	13	0	1	479	1	479	0.0	2496
A5N1U0	nifD	NC_009706.1_3064	nifD	100	533	0	0	1	533	1	533	0.0	2823
A6TTY0	nifD	NZ_FZOJ01000004.1_266	nifD	86	534	74	0	1	534	1	534	0.0	2509
A7HET0	nifD	NZ_JALCYY010000010.1_54	nifD	96	483	19	1	1	483	1	481	0.0	2470
A7I7F2	nifD	DAQC01000001.1_536	nifD	90	546	57	0	1	546	1	546	0.0	2674
A7IBF5	nifD	NZ_CP019948.1_1595	nifD	96	501	17	1	1	501	1	500	0.0	2576
A8HQJ1	nifD	NC_020453.1_2238	nifD	95	500	24	0	1	500	1	500	0.0	2562
A8L2C3	nifD	WOYS01000013.1_12	nifD	79	490	96	2	1	486	1	489	2.27e-272	2103
A9H5W5	nifD	NC_011365.1_1574	nifD	100	499	0	0	1	499	1	499	0.0	2661
AAM04635;size=1;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	78	469	92	1	1	460	1	469	1.97e-263	2021
ADP69796;size=1;/1-460	vnfD	NZ_FNWO01000012.1_9	vnfD	87	472	49	1	1	460	1	472	7.89e-298	2271
ADU27824;size=1;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	76	469	102	1	1	460	1	469	2.07e-256	1970
AGK98263;size=1;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	74	469	112	1	1	460	1	469	4.17e-253	1946
AHA37825;size=1;/1-460	vnfD	NZ_NOLJ01000009.1_277	vnfD	72	628	6	1	1	460	1	628	2.01e-295	2266
AKB48005;size=2;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	79	469	90	1	1	460	1	469	1.24e-265	2037
AKB51721;size=2;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	79	469	88	1	1	460	1	469	1.85e-266	2043
AKB81589;size=1;/1-460	vnfD	NZ_CP009288.1_2262	vnfD	80	469	87	1	1	460	1	469	2.75e-267	2049
AKG34370;size=1;/1-460	vnfD	NZ_CP011114.1_1426	vnfD	98	469	0	1	1	460	1	469	6.57e-322	2446
B0TAP4	nifD	NZ_WXEX01000020.1_20	nifD	96	486	20	0	1	486	1	486	0.0	2519
B0UAK3	nifD	NZ_KB900609.1_1169	nifD	100	505	1	0	1	505	1	505	0.0	2691
B1QUW1	nifD	NZ_HG917869.1_427	nifD	86	529	73	1	1	529	1	528	0.0	2468
B1Y772	nifD	NZ_LT607803.1_1234	nifD	94	487	27	1	1	485	1	487	0.0	2471
B2AIZ6	nifD	LRMT01000064.1_37	nifD	95	490	24	0	1	490	1	490	0.0	2511
B2IET3	nifD	NZ_ARWA01000001.1_1498	nifD	95	486	22	0	1	486	1	486	0.0	2492
B2JYD2	nifD	NZ_BBJJ01000077.1_10	nifD	93	487	32	0	1	487	1	487	0.0	2469
B3DXX6	nifD	NZ_LXQB01000023.1_67	nifD	93	491	32	0	1	491	1	491	0.0	2476
B3E3W1	nifD	NZ_VZQZ01000001.1_285	nifD	93	481	32	0	1	481	1	481	0.0	2460
B3EH85	nifD	NC_008639.1_769	nifD	91	546	47	0	1	546	1	546	0.0	2667
B3EL84	nifD	NZ_VDCI01000001.1_512	nifD	89	544	58	2	1	540	1	544	0.0	2619
B3F2H8	nifD	NZ_JRFE01000060.1_128	nifD	95	481	25	1	1	480	1	481	0.0	2467
B3F2I0	nifD	NZ_ALVZ01000230.1_7	nifD	90	481	47	0	1	481	1	481	1.31e-304	2336
B3F2I3	nifD	NZ_LR213770.1_7	nifD	95	482	24	1	1	481	1	482	0.0	2469
B3F2I8	nifD	NZ_MRCB01000006.1_64	nifD	97	478	12	0	1	478	1	478	0.0	2508
B3F2J0	nifD	JAAUOZ010000028.1_22	nifD	89	508	43	4	1	502	1	503	1.28e-313	2405
B3F2J1	nifD	NZ_AUZM01000010.1_62	nifD	98	480	9	0	1	480	1	480	0.0	2534
B3F2J4	nifD	NZ_JRFE01000060.1_128	nifD	79	484	97	2	1	484	1	481	2.45e-276	2131
B3QQ15	nifD	NC_011027.1_1625	nifD	100	542	0	0	1	542	1	542	0.0	2856
B3QXW8	nifD	NC_011026.1_1061	nifD	100	544	0	0	1	544	1	544	0.0	2861
B4AZA4	nifD	NC_014501.1_3656	nifD	100	476	0	0	1	476	1	476	0.0	2541
B4S9H8	nifD	JADMLA020000022.1_98	nifD	90	542	52	1	1	542	1	541	0.0	2629
B4SC62	nifD	CAILRB010000025.1_8	nifD	94	546	33	1	1	544	1	546	0.0	2717
B4ULZ0	nifD	NZ_BAZG01000015.1_37	nifD	97	483	13	0	1	483	1	483	0.0	2509
B4VJP5	nifD	NZ_DS989843.1_33	nifD	100	539	0	0	1	539	1	539	0.0	2842
B4WRV2	nifD	JADEXJ010000075.1_19	nifD	89	482	53	0	1	482	1	482	1.61e-302	2321
B5ECQ3	nifD	DNJC01000006.1_81	nifD	95	487	15	1	1	487	1	480	0.0	2483
B5JMT9	nifD	WOUP01000008.1_47	nifD	83	556	80	3	1	543	1	555	0.0	2468
B5YH17	nifD	NZ_AP022873.1_256	nifD	76	481	108	5	1	479	1	476	2.42e-260	2014
