	GenomeID	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	GB_GCA_900299075.1	OMIK01000052.1_7	OMIK01000052.1_10	OMIK01000052.1_11									OMIK01000089.1_6	OMIK01000089.1_8	OMIK01000089.1_7
1	GB_GCA_005843815.1	SZYA01000046.1_55	SZYA01000046.1_58	SZYA01000008.1_13									SZYA01000008.1_6	SZYA01000008.1_8	SZYA01000008.1_7
2	GB_GCA_015491585.1	WFVQ01000083.1_5	WFVQ01000026.1_1	WFVQ01000026.1_2											
3	RS_GCF_900290385.1	NZ_OMSV01000077.1_11	NZ_OMSV01000080.1_4	NZ_OMSV01000080.1_5											
4	GB_GCA_004195045.1	SGBC01000001.1_688	SGBC01000001.1_692	SGBC01000001.1_693											
5	GB_GCA_002503135.1	DARA01000054.1_10	DARA01000054.1_9	DARA01000054.1_8							DARA01000033.1_14	DARA01000028.1_6			
6	GB_GCA_000953215.1	LM995447.1_827	LM995447.1_822	LM995447.1_823											
7	GB_GCA_903866255.1	CAIPMW010000065.1_10	CAIPMW010000065.1_7	CAIPMW010000065.1_6									CAIPMW010000080.1_11	CAIPMW010000080.1_9	CAIPMW010000080.1_10
8	GB_GCA_003229935.1	QIGD01000051.1_2	QIGD01000051.1_6	QIGD01000051.1_7											
9	GB_GCA_903838025.1	CAILXB010000282.1_2	CAILXB010000233.1_2	CAILXB010000297.1_1									CAILXB010000328.1_3	CAILXB010000328.1_5	CAILXB010000328.1_4
10	GB_GCA_002415465.1	DHYT01000192.1_6	DHYT01000192.1_2	DHYT01000192.1_1											
11	GB_GCA_013331375.1	DUGO01000109.1_5	DUGO01000109.1_1	DUGO01000055.1_1											
12	GB_GCA_903895195.1	CAITSZ010000047.1_151	CAITSZ010000047.1_154	CAITSZ010000047.1_155									CAITSZ010000030.1_48	CAITSZ010000030.1_46	CAITSZ010000030.1_47
13	GB_GCA_000702685.1	JNJD01000007.1_360	JNJD01000007.1_357	JNJD01000007.1_358											
14	GB_GCA_005843825.1	SZXX01000015.1_85	SZXX01000015.1_82	SZXX01000015.1_81									SZXX01000006.1_29	SZXX01000006.1_31	SZXX01000006.1_30
