	GenomeID	nifH	nifD	nifK	vnfH	vnfD	vnfK	anfH	anfD	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	GB_GCA_000010645.1	AP010656.1_637	AP010656.1_640	AP010656.1_641											
1	GB_GCA_000017645.1	CP000781.1_145	CP000781.1_91	CP000781.1_92											
2	GB_GCA_000018545.1	U00090.2_117	U00090.2_116	U00090.2_115											
3	GB_GCA_000155695.1	DS990592.1_4258	DS990592.1_4257	DS990592.1_4256											
4	GB_GCA_000174895.1	ACOK01000116.1_47	ACOK01000094.1_8	ACOK01000117.1_119											
5	GB_GCA_000179315.1	ADZZ01000138.1_15	ADZZ01000138.1_18	ADZZ01000138.1_19											
6	GB_GCA_000242935.3	CP007053.1_198	CP007053.1_199	CP007053.1_200				CP007053.1_259	CP007053.1_260	CP007053.1_262					
7	GB_GCA_000244995.1	CM001438.1_1010	CM001438.1_1009	CM001438.1_1008											
8	GB_GCA_000306725.1	CP003083.1_1272	CP003083.1_1275	CP003083.1_1276							CP003083.1_904	CP003083.1_903			
9	GB_GCA_000307955.1	ALAO01000346.1_3	ALAO01000123.1_4	ALAO01000123.1_5				ALAO01000189.1_15	ALAO01000189.1_12	ALAO01000189.1_10					
10	GB_GCA_000380225.1	KB904821.1_2327	KB904821.1_2326	KB904821.1_2325									KB904821.1_2183	KB904821.1_2181	KB904821.1_596
11	GB_GCA_000383295.1	KB911066.1_386	KB911066.1_378	KB911066.1_379											
12	GB_GCA_000403255.2	KE159582.1_174	KE159582.1_176	KE159582.1_177											
13	GB_GCA_000410515.1	CP005991.1_513	CP005991.1_514	CP005991.1_515											
14	GB_GCA_000421045.1	ATWC01000001.1_73	ATWC01000001.1_77	ATWC01000001.1_76											
15	GB_GCA_000421085.1	ATWE01000020.1_1	ATWE01000054.1_2	ATWE01000054.1_3											
16	GB_GCA_000504425.1	KI632513.1_2273	KI632513.1_2272	KI632513.1_2271									KI632513.1_3634	KI632513.1_3637	KI632513.1_3635
17	GB_GCA_000517005.1	KI911947.1_177	KI911947.1_176	KI911947.1_175											
18	GB_GCA_000526255.1	JAFS01000001.1_953	JAFS01000001.1_952	JAFS01000001.1_951											
19	GB_GCA_000526575.1	JAGI01000003.1_533	JAGI01000003.1_530	JAGI01000003.1_529											
20	GB_GCA_000613065.1	CBZS010000660.1_2	CBZS010000430.1_15	CBZS010000430.1_18									CBZS010000133.1_16	CBZS010000133.1_18	CBZS010000504.1_2
21	GB_GCA_000681355.2	JJNX02000025.1_4	JJNX02000025.1_7	JJNX02000025.1_8											
22	GB_GCA_000701625.1	JNJK01000002.1_267	JNJK01000002.1_265	JNJK01000002.1_266											
23	GB_GCA_000702085.1	JNKP01000004.1_19	JNKP01000004.1_16	JNKP01000004.1_17											
24	GB_GCA_000702245.1	JNKY01000010.1_127	JNKY01000010.1_124	JNKY01000010.1_125											
25	GB_GCA_000702545.1	JNIO01000007.1_158	JNIO01000007.1_159	JNIO01000007.1_160											
26	GB_GCA_000702685.1	JNJD01000007.1_360	JNJD01000007.1_357	JNJD01000007.1_358											
27	GB_GCA_000733415.1	KL662192.1_73	KL662192.1_74	KL662192.1_75									KL662191.1_709	KL662191.1_707	KL662191.1_292
28	GB_GCA_000739515.1	DF820458.1_517	DF820458.1_514	DF820458.1_513											
29	GB_GCA_000746015.1	JQKK01000025.1_18	JQKK01000025.1_31	JQKK01000025.1_20											
30	GB_GCA_000747625.2	JQDQ01000073.1_12	JQDQ01000073.1_15	JQDQ01000073.1_16											
31	GB_GCA_000769715.1	JROS01000008.1_53	JROS01000008.1_50	JROS01000008.1_49											
32	GB_GCA_000770645.1	JQID01000095.1_11	JQID01000095.1_10	JQID01000095.1_9											
33	GB_GCA_000802095.1	JUEB01000015.1_21	JUEB01000015.1_24	JUEB01000015.1_25											
34	GB_GCA_000824785.1	CCNB01000015.1_36	CCNB01000015.1_35	CCNB01000015.1_34											
35	GB_GCA_000824805.1	CCNA01000013.1_18	CCNA01000013.1_19	CCNA01000013.1_20											
