	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	CAA33173;size=1;/1-459	FunGene	vnfD	vnfD	0.0	1022.9	460
1	OHC12061;size=2;/1-460	FunGene	vnfD	vnfD	0.0	1047.6	460
2	EXJ15821;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1023.0	460
3	SEH51093;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1042.0	460
4	EPY02865;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1042.4	460
5	SEQ30981;size=3;/1-460	FunGene	vnfD	vnfD	0.0	1047.7	460
6	CAA36058;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1044.5	460
7	OIQ93815;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1042.2	460
8	CAE26821;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1046.0	460
9	SFL38789;size=2;/1-460	FunGene	vnfD	vnfD	0.0	1047.2	460
10	ADP69796;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1028.4	460
11	SFX09986;size=5;/1-460	FunGene	vnfD	vnfD	0.0	1050.3	460
12	CCD03004;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1039.5	460
13	OBQ03851;size=4;/1-460	FunGene	vnfD	vnfD	5e-306	1005.1	460
14	EKE99886;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-305	1002.3	460
15	EKF04224;size=1;/1-460	FunGene	vnfD	vnfD	5.8e-305	1001.6	460
16	AHA37825;size=1;/1-460	FunGene	vnfD	vnfD	1.8e-302	993.4	460
17	AHA37824;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-301	989.2	460
18	AIQ12504;size=1;/1-460	FunGene	vnfD	vnfD	5.8e-301	989.0	460
19	AKG34370;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-300	985.5	460
20	EKQ52376;size=1;/1-460	FunGene	vnfD	vnfD	9.999999999999999e-288	944.7	459
21	BAH06671;size=2;/1-460	FunGene	vnfD	vnfD	1.1e-286	941.2	460
22	AKB51721;size=2;/1-460	FunGene	vnfD	vnfD	1.8999999999999999e-286	940.5	460
23	OED02931;size=3;/1-460	FunGene	vnfD	vnfD	1.2e-285	938.5	460
24	AKJ38129;size=1;/1-460	FunGene	vnfD	vnfD	1.5999999999999999e-285	938.1	460
25	AKB48005;size=2;/1-460	FunGene	vnfD	vnfD	2.9e-285	936.6	460
26	OMH20013;size=6;/1-460	FunGene	vnfD	vnfD	3e-285	936.6	460
27	AAF72180;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-285	936.4	460
28	AKB81589;size=1;/1-460	FunGene	vnfD	vnfD	5.6e-285	935.7	460
29	ETA66931.1|Methanolobus_tindarius_1	Zehr	nifH	nflH	2.1e-284	943.8	736
30	AAM04635;size=1;/1-460	FunGene	vnfD	vnfD	2.2e-284	933.7	460
31	AGK98263;size=1;/1-460	FunGene	vnfD	vnfD	5.8e-283	929.0	460
32	ADU27824;size=1;/1-460	FunGene	vnfD	vnfD	4.5e-280	919.5	460
33	AGN26065.1|Candidatus_Methanomassiliicoccus_1	Zehr	nifH	nflH	3.3000000000000003e-277	920.0	720
34	AAM05435.1|Methanosarcina_acetivorans_1	Zehr	nifH	nflH	1.8e-276	917.5	751
35	ADN36985.1|Methanoplanus_petrolearius_1	Zehr	nifH	nflH	1.4999999999999998e-275	914.5	751
36	AGI85899.1|Candidatus_Methanomethylophilus_1	Zehr	nifH	nflH	3.2e-262	870.4	717
37	CDF30912.1|Methanoculleus_sp._1	Zehr	nifH	nflH	3.6999999999999997e-261	867.9	717
38	AAZ71607.1|Methanosarcina_barkeri_1	Zehr	nifH	nflH	7.0000000000000005e-261	866.0	741
39	A7IBF5	FunGene	nifD	nifD	8.8e-255	840.6	486
40	Q60C80	FunGene	nifD	nifD	2.4e-254	839.1	480
41	A5ENX1	FunGene	nifD	nifD	4.3e-254	838.3	489
42	EHP07423.1|Holophaga_foetida_1	Zehr	nifH	nflH	5.5e-254	843.2	726
43	A4VJ71	FunGene	nifD	nifD	9.9e-254	837.1	489
44	A4YYZ0	FunGene	nifD	nifD	1.5e-253	837.0	489
45	ACN13985.1|Desulfobacterium_autotrophicum_1	Zehr	nifH	nflH	5.1e-253	840.0	746
46	ZP_09716922.1|Treponema_primitia_1	Zehr	nifH	nflH	1e-252	839.1	720
47	A8HQJ1	FunGene	nifD	nifD	1.2e-252	833.5	488
48	B8EJ24	FunGene	nifD	nifD	4.600000000000001e-252	831.6	475
49	A4JRN8	FunGene	nifD	nifD	5.8e-252	831.2	480
50	C6P5Y2	FunGene	nifD	nifD	6.700000000000001e-252	831.0	482
51	A1VPS3	FunGene	nifD	nifD	7.2e-252	830.9	480
52	C5S6M4	FunGene	nifD	nifD	7.500000000000001e-252	830.9	477
53	C7DPA6	FunGene	nifD	nifD	3.8e-251	828.6	483
54	C5BTB1	FunGene	nifD	nifD	4.2999999999999994e-251	828.4	491
55	P06121	FunGene	nifD	nifD	4.399999999999999e-251	828.3	487
56	D0EJA7	FunGene	nifD	nifD	1e-250	827.3	487
57	A6UME8	FunGene	nifD	nifD	1.5e-250	827.1	487
58	A1K2V1	FunGene	nifD	nifD	1.7e-250	826.4	480
59	P06120	FunGene	nifD	nifD	2.5999999999999998e-250	825.8	484
60	C7RRG5	FunGene	nifD	nifD	2.7999999999999997e-250	825.7	483
61	C6HVB1	FunGene	nifD	nifD	2.7999999999999997e-250	825.7	479
62	B3DXX6	FunGene	nifD	nifD	2.7999999999999997e-250	825.7	480
63	A9H5W5	FunGene	nifD	nifD	2.8999999999999996e-250	825.6	487
64	Q6N0Z0	FunGene	nifD	nifD	3.1e-250	825.5	478
65	D0EJC7	FunGene	nifD	nifD	4.6e-250	825.4	487
66	Q4VUB6	FunGene	nifD	nifD	8.3e-250	824.3	487
67	C7DP64	FunGene	nifD	nifD	9.8e-250	824.1	482
68	D0EJB0	FunGene	nifD	nifD	9.9e-250	823.9	483
69	Q92ZL4	FunGene	nifD	nifD	1.1000000000000001e-249	824.1	483
70	D0EJB2	FunGene	nifD	nifD	1.1000000000000001e-249	824.2	487
71	Q8KIP2	FunGene	nifD	nifD	1.2e-249	824.0	484
72	D0EJB3	FunGene	nifD	nifD	1.2e-249	824.1	483
73	C7DPA3	FunGene	nifD	nifD	1.4000000000000002e-249	823.4	488
74	D0EJC0	FunGene	nifD	nifD	2.1000000000000002e-249	822.8	483
75	D0EJB1	FunGene	nifD	nifD	2.2000000000000002e-249	822.9	483
76	Q20Y01	FunGene	nifD	nifD	2.2000000000000002e-249	822.7	490
77	C7DP73	FunGene	nifD	nifD	2.2000000000000002e-249	822.9	483
78	BAE85651.1|Desulfitobacterium_hafniense_1	Zehr	nifH	nflH	2.3000000000000003e-249	827.9	734
79	D0EJB8	FunGene	nifD	nifD	2.3000000000000003e-249	823.1	483
80	Q2RVN3	FunGene	nifD	nifD	2.5000000000000004e-249	822.6	476
81	Q8KIN7	FunGene	nifD	nifD	2.9e-249	822.3	488
82	Q07HY2	FunGene	nifD	nifD	3.2e-249	822.2	478
83	B3Q2Q8	FunGene	nifD	nifD	3.2e-249	822.6	488
84	C7DP67	FunGene	nifD	nifD	3.4000000000000003e-249	822.6	486
85	D0EJC6	FunGene	nifD	nifD	4.2000000000000004e-249	822.3	483
86	C7DP88	FunGene	nifD	nifD	4.4000000000000005e-249	821.9	486
87	Q4VUC0	FunGene	nifD	nifD	4.9e-249	821.7	487
88	C7DP58	FunGene	nifD	nifD	5.100000000000001e-249	821.5	488
89	Q2J1I0	FunGene	nifD	nifD	5.5e-249	821.4	478
90	B1Y772	FunGene	nifD	nifD	5.8e-249	821.3	479
91	D0EJC1	FunGene	nifD	nifD	6.200000000000001e-249	821.7	483
92	Q7X1F7	FunGene	nifD	nifD	7.900000000000001e-249	820.9	479
93	C7DP82	FunGene	nifD	nifD	8.1e-249	820.8	490
94	C7DP94	FunGene	nifD	nifD	8.200000000000001e-249	821.0	486
95	Q13C77	FunGene	nifD	nifD	8.500000000000001e-249	821.3	478
96	B0UAK3	FunGene	nifD	nifD	8.900000000000001e-249	820.7	488
97	D0EJC9	FunGene	nifD	nifD	9.4e-249	821.1	483
98	C1DGZ7	FunGene	nifD	nifD	1.2e-248	820.8	487
99	C7DP55	FunGene	nifD	nifD	1.3e-248	820.7	489
100	B2IET3	FunGene	nifD	nifD	1.4e-248	820.0	478
101	C7DP49	FunGene	nifD	nifD	2e-248	820.1	490
102	C7DP91	FunGene	nifD	nifD	2.1e-248	819.9	486
103	Q8KJ97	FunGene	nifD	nifD	2.3e-248	819.4	487
104	D0EJC5	FunGene	nifD	nifD	2.3e-248	819.3	483
105	AGI48130.1|Thermoplasmatales_archaeon_1	Zehr	nifH	nflH	2.5e-248	824.5	702
106	D0EJC3	FunGene	nifD	nifD	2.6e-248	819.4	482
107	EHO85899.1|Eubacterium_infirmum_1	Zehr	nifH	nflH	3.5000000000000002e-248	824.0	739
108	P19066	FunGene	nifD	nifD	3.7e-248	818.7	490
109	C7DP85	FunGene	nifD	nifD	4.9000000000000005e-248	818.5	486
110	B7KG75	FunGene	nifD	nifD	5.2e-248	818.2	479
111	ETK00068.1|Eubacterium_nodatum_1	Zehr	nifH	nflH	6.100000000000001e-248	823.2	778
112	P07328	FunGene	nifD	nifD	6.300000000000001e-248	817.9	487
113	B6IXK7	FunGene	nifD	nifD	6.700000000000001e-248	817.8	481
114	Q9AJ61	FunGene	nifD	nifD	8.1e-248	817.6	476
115	D0EJC2	FunGene	nifD	nifD	9.800000000000001e-248	817.5	485
116	Q98AP6	FunGene	nifD	nifD	1e-247	817.7	483
117	C7DP70	FunGene	nifD	nifD	1.1e-247	817.6	489
118	C7DP76	FunGene	nifD	nifD	1.1999999999999999e-247	817.5	489
119	B7JA98	FunGene	nifD	nifD	1.3e-247	816.8	475
120	D0EJD1	FunGene	nifD	nifD	1.3e-247	817.3	483
121	EGB93021.1|Clostridium_sp._1	Zehr	nifH	nflH	1.8e-247	821.7	734
122	C8SJQ3	FunGene	nifD	nifD	2.5e-247	815.9	488
123	C7DPA0	FunGene	nifD	nifD	2.8e-247	815.9	486
124	Q13N41	FunGene	nifD	nifD	3.1e-247	815.6	481
125	Q9ZIE3	FunGene	nifD	nifD	3.7e-247	815.8	487
126	D0EJD3	FunGene	nifD	nifD	3.8e-247	815.5	483
127	AEF84719.1|Treponema_primitia_1	Zehr	nifH	nflH	5.6999999999999995e-247	820.0	729
128	Q47G68	FunGene	nifD	nifD	1.1e-246	813.8	477
129	C7DP61	FunGene	nifD	nifD	1.2000000000000002e-246	813.7	487
130	A4TZV2	FunGene	nifD	nifD	1.6e-246	813.3	474
131	D0EJB6	FunGene	nifD	nifD	1.8e-246	813.6	483
132	D0EJC4	FunGene	nifD	nifD	1.9000000000000001e-246	813.5	482
133	D0EJD5	FunGene	nifD	nifD	2.7e-246	813.0	481
134	D0EJB7	FunGene	nifD	nifD	4.600000000000001e-246	811.8	482
135	D0EJA9	FunGene	nifD	nifD	4.600000000000001e-246	812.2	482
136	B2JYD2	FunGene	nifD	nifD	4.600000000000001e-246	811.7	480
137	Q1M7Z3	FunGene	nifD	nifD	6.9e-246	811.2	483
138	Q55029	FunGene	nifD	nifD	8.700000000000001e-246	810.8	479
139	D0EJD2	FunGene	nifD	nifD	1.1e-245	810.6	485
140	B4AZA4	FunGene	nifD	nifD	1.6e-245	810.0	479
141	D0EJD0	FunGene	nifD	nifD	2.9e-245	809.6	483
142	P77874	FunGene	nifD	nifD	2.9999999999999998e-245	809.1	475
143	B3F2I8	FunGene	nifD	nifD	3.0999999999999996e-245	809.0	475
144	A4WRY4	FunGene	nifD	nifD	3.2999999999999997e-245	808.9	490
145	AEF80058.1|Treponema_azotonutricium_1	Zehr	nifH	nflH	5.199999999999999e-245	813.5	726
146	Q6ITC3	FunGene	nifD	nifD	5.9e-245	808.5	487
147	A0L6W9	FunGene	nifD	nifD	7.199999999999999e-245	807.8	474
148	Q3M589	FunGene	nifD	nifD	8.199999999999999e-245	808.1	479
149	Q3J0H2	FunGene	nifD	nifD	1e-244	807.3	490
150	P06769	FunGene	nifD	nifD	1.2999999999999999e-244	807.0	484
