m iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880591,# Direct Submission,,
AMT77018.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC655 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880592,# Direct Submission,,
AMT77022.1,,Bradyrhizobium cytisi,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium cytisi strain BRUESC661 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium cytisi,nifH,Inga subnuda subsp. subnuda,nodule,,genomic DNA,NifH,2..391 KT880596,# Direct Submission,,
AMT77023.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC662 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga subnuda subsp. subnuda,nodule,,genomic DNA,NifH,1..390 KT880597,# Direct Submission,,
AMT77024.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC663 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga subnuda subsp. subnuda,nodule,,genomic DNA,NifH,2..388 KT880598,# Direct Submission,,
AMT77025.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC664 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga subnuda subsp. subnuda,nodule,,genomic DNA,NifH,2..397 KT880599,# Direct Submission,,
AMT77026.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC665 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga subnuda subsp. subnuda,nodule,,genomic DNA,NifH,2..397 KT880600,# Direct Submission,,
AMT81177.1,,uncultured Enterobacter,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW1,,,,26-JUN-2016,"Uncultured Enterobacter sp. clone NF_TSTRW1 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Enterobacter sp.,nifH,,oily wheat straw,,genomic DNA,,KR350503,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81178.1,,uncultured Methylocystis,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW2,,,,26-JUN-2016,"Uncultured Methylocystis sp. clone NF_TSTRW2 dinitrogenase reductase (nifH) gene, partial cds.",uncultured Methylocystis sp.,nifH,,oily wheat straw,,genomic DNA,,KR350504,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81179.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_TSTRW11,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_TSTRW11 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,oily wheat straw,,genomic DNA,,KR350505,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81180.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW3,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_USTRW3 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350506,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
AMT81181.1,,uncultured nitrogen-fixing,"# Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M. # Radwan,S., Sorkhoh,N., Dashti,N., Ali,N., Al-Awadhi,H. and # Khanafer,M.",NF_USTRW6,,,,26-JUN-2016,"Uncultured nitrogen-fixing bacterium clone NF_USTRW6 dinitrogenase reductase (nifH) gene, partial cds.",uncultured nitrogen-fixing bacterium,nifH,,pristine wheat straw,,genomic DNA,,KR350507,# Hydrocarbon degradation and heavy metal resistance potential of microorganisms associated with lignified natural products used as sorbents of spilled oil # Direct Submission,,
