	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	2NC_005296_1	Buckley	nifH	anfH	1.80E-179	593.6	274
1	CP0004631_1	Buckley	nifH	anfH	6.30E-179	591.8	274
2	X70033_1	Buckley	nifH	anfH	2.20E-178	590	274
3	NC_011958_1	Buckley	nifH	anfH	7.30E-177	585	274
4	M24596X03916_1	Buckley	nifH	vnfH	2.00E-176	583.9	287
5	M32371_1	Buckley	nifH	vnfH	2.60E-175	580.2	287
6	M23528_1	Buckley	nifH	anfH	7.00E-175	578.5	274
7	3951840390NZ_AAAU03000003_1	Buckley	nifH	nifH	2.50E-174	576.8	288
8	CP0009641_1	Buckley	nifH	nifH	2.10E-173	573.7	287
9	CP001654_1	Buckley	nifH	nifH	5.00E-173	572.5	288
10	2381116M73020_1	Buckley	nifH	nifH	7.60E-173	571.9	289
11	AP012320_1	Buckley	nifH	nifH	1.70E-172	570.8	289
12	6061496X96609_1	Buckley	nifH	nifH	2.30E-172	570.3	288
13	CP000089_1	Buckley	nifH	vnfH	2.60E-172	570.4	287
14	CP002433_1	Buckley	nifH	nifH	2.90E-172	570	287
15	AF200742_1	Buckley	nifH	vnfH	7.10E-172	568.9	287
16	7211602X51500_1	Buckley	nifH	nifH	1.10E-171	568.1	288
17	AGFC01000063_1	Buckley	nifH	vnfH	1.70E-171	567.7	287
18	gi_49609491_1	Buckley	nifH	nifH	2.50E-171	567	288
19	CP000975_1	Buckley	nifH	nifH	2.60E-171	566.9	288
20	CP001150_1	Buckley	nifH	nifH	5.10E-171	565.9	289
21	gi_291582584_1	Buckley	nifH	vnfH	5.70E-171	566	287
22	CP0018961_1	Buckley	nifH	vnfH	6.10E-171	565.9	287
23	CP0006132_1	Buckley	nifH	nifH	7.20E-171	565.4	289
24	gi_257044187_1	Buckley	nifH	vnfH	7.30E-171	565.6	287
25	AF194084_1	Buckley	nifH	nifH	8.30E-171	565.2	288
26	AFWU01000015_1	Buckley	nifH	vnfH	1.10E-170	565.1	287
27	AFWV01000002_1	Buckley	nifH	vnfH	1.50E-170	564.6	287
28	AFWT01000001_1	Buckley	nifH	vnfH	1.60E-170	564.5	286
29	AP012279_1	Buckley	nifH	nifH	1.80E-170	564.1	289
30	gi_288909149_1	Buckley	nifH	nifH	3.50E-170	563.2	288
31	CP0011321_1	Buckley	nifH	nifH	5.20E-170	562.6	289
32	CP003153_1	Buckley	nifH	nifH	5.60E-170	562.5	287
33	AEWJ01000022_1	Buckley	nifH	nifH	5.70E-170	562.5	287
34	HE663493_1	Buckley	nifH	nifH	6.70E-170	562.3	288
35	CP003244_1	Buckley	nifH	nifH	7.10E-170	562.2	288
36	DQ315787_1	Buckley	nifH	vnfH	7.40E-170	562.3	289
37	AP012304_1	Buckley	nifH	nifH	8.60E-170	561.9	289
38	CP0007811_1	Buckley	nifH	nifH	1.50E-169	561.1	289
39	CP002985_1	Buckley	nifH	nifH	1.60E-169	561	289
40	CP0001421_1	Buckley	nifH	nifH	1.60E-169	561.1	287
41	X07866_1	Buckley	nifH	nifH	1.60E-169	561	289
42	CP0004711_1	Buckley	nifH	vnfH	2.20E-169	560.8	287
43	CP0009431_1	Buckley	nifH	nifH	2.40E-169	560.4	288
44	512909513802NC_010628_1	Buckley	nifH	vnfH	3.80E-169	560	289
45	CP0002711_1	Buckley	nifH	nifH	3.90E-169	559.7	289
46	AE0172822_1	Buckley	nifH	nifH	5.60E-169	559.2	289
47	FQ859181_1	Buckley	nifH	nifH	6.50E-169	559	289
48	ACYY01000009_1	Buckley	nifH	nifH	7.10E-169	558.9	289
49	CP0012801_1	Buckley	nifH	nifH	8.50E-169	558.6	289
50	M16709_1	Buckley	nifH	nifH	9.30E-169	558.5	289
51	JN021929_1	Buckley	nifH	nifH	1.00E-168	558.4	289
52	CP0006161_1	Buckley	nifH	nifH	1.00E-168	558.4	289
53	AAEW02000007_1	Buckley	nifH	nifH	1.20E-168	558.1	285
54	CP002292_1	Buckley	nifH	nifH	1.30E-168	558.1	288
55	CP000148_1	Buckley	nifH	nifH	1.30E-168	558.1	284
56	gi_192282182_1	Buckley	nifH	nifH	1.40E-168	557.9	288
57	CP0011241_1	Buckley	nifH	nifH	1.50E-168	557.8	285
58	gi_221562406_1	Buckley	nifH	nifH	1.80E-168	557.6	285
59	CP001189_1	Buckley	nifH	nifH	2.30E-168	557.2	289
60	CP001013_1	Buckley	nifH	nifH	2.50E-168	557.1	289
61	CP001349_1	Buckley	nifH	nifH	2.80E-168	556.9	288
62	CP002418_1	Buckley	nifH	nifH	2.90E-168	556.9	288
63	AP007255_1	Buckley	nifH	nifH	4.20E-168	556.4	288
64	BA000012_1	Buckley	nifH	nifH	4.20E-168	556.3	288
65	2411128U49514_1	Buckley	nifH	vnfH	4.30E-168	556.5	287
66	CP000230_1	Buckley	nifH	nifH	4.50E-168	556.3	289
67	61130226113909NC_009485_1	Buckley	nifH	nifH	6.10E-168	555.8	289
68	16909M15270_1	Buckley	nifH	nifH	6.20E-168	555.8	289
69	AF012326_1	Buckley	nifH	vnfH	6.30E-168	556	280
70	AGSN01000002_1	Buckley	nifH	nifH	6.40E-168	555.8	289
71	CP0013441_1	Buckley	nifH	vnfH	6.80E-168	555.9	279
72	NC_005296_1	Buckley	nifH	nifH	7.70E-168	555.5	287
73	17122602AH000924_1	Buckley	nifH	nifH	7.90E-168	555.5	288
74	GG693862_1	Buckley	nifH	nifH	8.30E-168	555.4	287
75	3901277U89346_1	Buckley	nifH	vnfH	8.40E-168	555.6	287
76	CP0005291_1	Buckley	nifH	nifH	1.20E-167	554.9	288
77	AB196476_1	Buckley	nifH	nifH	1.20E-167	554.9	288
78	AE006469_1	Buckley	nifH	nifH	1.30E-167	554.8	289
79	CP000301_2_1	Buckley	nifH	nifH	1.40E-167	554.6	289
80	gi_298231532_1	Buckley	nifH	vnfH	1.70E-167	554.6	285
81	ACZA01000008_1	Buckley	nifH	nifH	3.00E-167	553.6	288
82	gi_182632885_1	Buckley	nifH	nifH	3.10E-167	553.5	286
83	CP0007691_1	Buckley	nifH	nifH	3.20E-167	553.5	284
84	7151772413AAVW01000011_1	Buckley	nifH	vnfH	5.30E-167	552.9	289
85	CAHP01000046_1	Buckley	nifH	vnfH	1.10E-166	551.9	287
86	CP001046_1	Buckley	nifH	nifH	1.40E-166	551.3	289
87	U49515_1	Buckley	nifH	vnfH	1.40E-166	551.5	279
88	CACA01000066_1	Buckley	nifH	vnfH	1.70E-166	551.3	289
