	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	7211602X51500_1	Buckley	nifH	vnfH	5.40E-181	598.9	290
1	AP012320_1	Buckley	nifH	vnfH	1.40E-180	597.5	290
2	AF194084_1	Buckley	nifH	vnfH	2.00E-180	597	290
3	512909513802NC_010628_1	Buckley	nifH	vnfH	2.50E-180	596.7	291
4	AEWG01000018_1	Buckley	nifH	vnfH	4.40E-180	597.1	290
5	gi_288909149_1	Buckley	nifH	vnfH	1.60E-179	594	290
6	AF012326_1	Buckley	nifH	vnfH	2.40E-179	593.5	285
7	CP000975_1	Buckley	nifH	vnfH	3.10E-179	593.1	289
8	15942487L23514_1	Buckley	nifH	vnfH	3.10E-179	594	291
9	CP0006132_1	Buckley	nifH	vnfH	3.90E-179	592.8	292
10	FQ311868_1	Buckley	nifH	vnfH	5.70E-179	593.4	290
11	10084961009389NC_003272_1	Buckley	nifH	vnfH	6.30E-179	593.3	285
12	CP000117_2_1	Buckley	nifH	vnfH	1.10E-178	592.5	285
13	CP0011321_1	Buckley	nifH	vnfH	1.40E-178	590.9	290
14	X51609_1	Buckley	nifH	vnfH	1.50E-178	592.1	290
15	7151772413AAVW01000011_1	Buckley	nifH	vnfH	2.30E-178	590.2	291
16	DQ315787_1	Buckley	nifH	vnfH	2.30E-178	590.2	292
17	CP003153_1	Buckley	nifH	vnfH	2.50E-178	590.1	287
18	CP002985_1	Buckley	nifH	vnfH	2.50E-178	590.1	290
19	CP0009431_1	Buckley	nifH	vnfH	4.30E-178	589.3	290
20	AGIZ01000013_1	Buckley	nifH	vnfH	5.60E-178	589.8	289
21	12295401230433NC_010628_1	Buckley	nifH	vnfH	7.30E-178	588.6	291
22	JN021929_1	Buckley	nifH	vnfH	8.90E-178	588.3	292
23	AP012304_1	Buckley	nifH	vnfH	9.10E-178	588.3	289
24	AP012279_1	Buckley	nifH	vnfH	9.60E-178	588.2	290
25	CP001349_1	Buckley	nifH	vnfH	1.10E-177	588	290
26	gi_192282182_1	Buckley	nifH	vnfH	1.10E-177	588	290
27	HQ670655_1	Buckley	nifH	vnfH	1.20E-177	588.7	291
28	HE663493_1	Buckley	nifH	vnfH	1.30E-177	587.8	288
29	L04499_1	Buckley	nifH	vnfH	1.30E-177	588.6	287
30	2411128U49514_1	Buckley	nifH	vnfH	1.50E-177	587.5	289
31	AEWJ01000022_1	Buckley	nifH	vnfH	1.60E-177	587.5	287
