BuckleyID	BuckleySeq	NFixDBID	NFixDBSeq	%Identity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
12295401230433NC_010628_1	nifH	JABXKI010000170.1_15	vnfH	96	297	11	1	1	296	1	297	3.14e-187	1440
12633841264250NC_010814_1	nifH	PMCK01000495.1_5	vnfH	65	293	42	2	1	232	1	293	1.63e-113	898
13962214AY603957_1	nifH	NZ_CP009268.1_1381	vnfH	88	272	0	1	1	240	1	272	6.74e-154	1191
1417AY624581_1	nifH	CAJATU010000063.1_25	vnfH	41	299	15	2	1	138	1	298	6.74e-53	447
1645817270ACKT01000013_1	nifH	CAADXO010000019.1_36	nflH	68	270	84	2	1	269	1	268	1.16e-117	936
16909M15270_1	nifH	NZ_BJZO01000086.1_9	vnfH	84	297	40	3	1	296	1	291	1.74e-163	1267
17122602AH000924_1	nifH	CAINOE010000073.1_13	vnfH	89	299	29	2	1	295	1	299	5.23e-174	1344
1717AB027751_1	nifH	JAFNAS010000019.1_52	anfH	73	274	27	1	1	228	1	274	1.46e-127	1001
1780AB191046_1	nifH	NZ_AP018449.1_2668	vnfH	78	284	38	1	1	259	1	284	1.66e-143	1118
1789AB191045_1	nifH	NZ_AP018449.1_2668	vnfH	78	287	35	2	1	262	1	284	1.96e-144	1125
19014921902346NC_009012_1	nifH	JAEWDM010000040.1_232	vnfH	70	285	47	2	1	248	1	284	2.32e-125	985
19792857AJ299453_1	nifH	NZ_CP011114.1_3785	vnfH	95	295	11	2	1	291	1	295	1.86e-183	1412
2121075U53362_1	nifH	NZ_JACJRU010000003.1_292	vnfH	75	296	63	3	1	286	1	296	2.3e-146	1142
2381116M73020_1	nifH	NC_021149.1_128	vnfH	95	292	13	3	1	291	1	290	4.19e-179	1380
2411128U49514_1	nifH	NZ_AJLK01000041.1_8	vnfH	99	295	1	1	1	294	1	295	1.81e-193	1485
2411137M15238_1	nifH	JAKBJA010000175.1_7	vnfH	86	298	33	4	1	297	1	290	1.9e-164	1274
2431067U68183_1	nifH	DNPP01000068.1_28	vnfH	80	274	54	1	1	273	1	274	4.42e-149	1159
24523273AF266462_1	nifH	JAJXWH010000032.1_49	vnfH	96	273	9	1	1	272	1	273	9.92e-174	1338
28079972808866NC_011004_2	nifH	JAEZKS010000250.1_8	nflH	34	316	68	3	1	176	1	316	4.15e-47	415
