MiseID	MiseSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
WP_002581635.1	nifH_T1	JAJXWH010000032.1_49	vnfH	95	273	15	0	1	273	1	273	6.28e-172	1325
WP_002685515.1	nifH_T1	NZ_SSOD01000019.1_89	vnfH	89	299	27	2	1	298	1	295	8.39e-176	1357
WP_002710379.1	nifH_T1	NZ_SJZB01000053.1_50	vnfH	90	293	28	1	1	291	1	293	2.15e-174	1346
WP_002720705.1	nifH_T1	NZ_BJZO01000086.1_9	vnfH	90	291	28	0	1	291	1	291	2.23e-175	1353
WP_002728190.1	nifH_T2	NZ_FNWO01000006.1_229	vnfH	93	292	21	0	1	292	1	292	7.99e-182	1400
WP_003294714.1	nifH_T1	DIDB01000228.1_21	vnfH	90	293	28	0	1	293	1	293	6e-178	1372
WP_003444445.1	nifH_T2	NZ_BAEV01000114.1_9	vnfH	92	273	22	1	1	273	1	272	4.02e-167	1290
WP_003446488.1	nifH_T2	NZ_JAEEGC010000053.1_19	vnfH	93	273	19	1	1	273	1	272	4.02e-167	1290
WP_003447877.1	nifH_T1	NZ_BAEV01000114.1_9	vnfH	92	273	22	1	1	273	1	272	4.02e-167	1290
WP_003447888.1	nifH_T1	JAJYBA010000030.1_7	vnfH	92	273	21	0	1	273	1	273	3.55e-169	1305
WP_003517348.1	nifH_T3	JAEWDM010000040.1_232	vnfH	81	285	52	2	1	284	1	284	7.14e-152	1181
WP_003532770.1	nifH_T2	CAJATU010000063.1_25	vnfH	89	298	31	1	1	297	1	298	2.86e-174	1346
WP_003568322.1	nifH_T1	CAJATU010000063.1_25	vnfH	86	298	39	1	1	295	1	298	1.26e-165	1283
WP_003581486.1	nifH_T1	NZ_CP022253.1_2290	vnfH	85	295	43	2	1	295	1	293	1.78e-163	1267
WP_004074847.1	nifH_T1	DNPP01000068.1_28	vnfH	82	274	48	0	1	274	1	274	1.56e-155	1206
WP_004094239.1	nifH_T3	JAEZKS010000250.1_8	nflH	60	319	98	4	1	291	1	316	7.56e-119	950
WP_004203553.1	nifH_T3	NZ_JACHXI010000010.1_82	vnfH	87	293	34	1	1	293	1	290	1.51e-170	1318
WP_004591750.1	nifH_T3	NZ_AQUK01000001.1_647	nflH	100	274	0	0	1	274	1	274	2.41e-181	1400
WP_004626521.1	nifH_T1	DBTU01000011.1_44	vnfH	90	272	28	0	1	272	1	272	6.22e-165	1274
WP_004675840.1	nifH_T3	CAINOE010000073.1_13	vnfH	91	299	26	1	1	297	1	299	2.75e-177	1368
WP_005034263.1	nifH_T1	DNPP01000068.1_28	vnfH	79	274	58	0	1	274	1	274	3.04e-148	1153
