	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	ETA66931.1|Methanolobus_tindarius_1	Zehr	nifH	nflH	2.10E-284	943.8	736
1	AGN26065.1|Candidatus_Methanomassiliicoccus_1	Zehr	nifH	nflH	3.30E-277	920	720
2	AAM05435.1|Methanosarcina_acetivorans_1	Zehr	nifH	nflH	1.80E-276	917.5	751
3	ADN36985.1|Methanoplanus_petrolearius_1	Zehr	nifH	nflH	1.50E-275	914.5	751
4	AGI85899.1|Candidatus_Methanomethylophilus_1	Zehr	nifH	nflH	3.20E-262	870.4	717
5	CDF30912.1|Methanoculleus_sp._1	Zehr	nifH	nflH	3.70E-261	867.9	717
6	AAZ71607.1|Methanosarcina_barkeri_1	Zehr	nifH	nflH	7.00E-261	866	741
7	EHP07423.1|Holophaga_foetida_1	Zehr	nifH	nflH	5.50E-254	843.2	726
8	ACN13985.1|Desulfobacterium_autotrophicum_1	Zehr	nifH	nflH	5.10E-253	840	746
9	ZP_09716922.1|Treponema_primitia_1	Zehr	nifH	nflH	1.00E-252	839.1	720
10	BAE85651.1|Desulfitobacterium_hafniense_1	Zehr	nifH	nflH	2.30E-249	827.9	734
11	AGI48130.1|Thermoplasmatales_archaeon_1	Zehr	nifH	nflH	2.50E-248	824.5	702
12	EHO85899.1|Eubacterium_infirmum_1	Zehr	nifH	nflH	3.50E-248	824	739
13	ETK00068.1|Eubacterium_nodatum_1	Zehr	nifH	nflH	6.10E-248	823.2	778
14	EGB93021.1|Clostridium_sp._1	Zehr	nifH	nflH	1.80E-247	821.7	734
15	AEF84719.1|Treponema_primitia_1	Zehr	nifH	nflH	5.70E-247	820	729
16	AEF80058.1|Treponema_azotonutricium_1	Zehr	nifH	nflH	5.20E-245	813.5	726
17	EGS31172.1|Peptoniphilus_sp._1	Zehr	nifH	nflH	6.90E-226	750.3	688
18	CDB02908.1|Firmicutes_bacterium_1	Zehr	nifH	nflH	7.70E-212	703.9	685
19	EEN15621.1|Desulfotomaculum_acetoxidans_1	Zehr	nifH	nflH	1.90E-210	699.3	675
20	ACV61347.1|Desulfotomaculum_acetoxidans_1	Zehr	nifH	nflH	6.10E-208	692.4	669
21	AGN26900.1|Methanomassiliicoccus_sp._1	Zehr	nifH	nflH	1.60E-189	630.1	717
22	AAB02342.1|Azospirillum_brasilense_1	Zehr	nifH	vnfH	3.40E-181	599.5	291
23	EGJ10941.1|Rubrivivax_benzoatilyticus_1	Zehr	nifH	vnfH	1.30E-180	597.6	291
24	AAK26105.1|unidentified_bacterium_1	Zehr	nifH	vnfH	2.00E-180	596.9	290
25	ACC79194.1|Nostoc_punctiforme_1	Zehr	nifH	vnfH	2.50E-180	596.6	291
26	AFZ27429.1|Cylindrospermum_stagnale_1	Zehr	nifH	vnfH	5.40E-180	596.5	292
27	ADC97878.1|Methylacidiphilum_fumariolicum_1	Zehr	nifH	vnfH	1.40E-179	594.2	289
28	BAI71409.1|Azospirillum_sp._1	Zehr	nifH	vnfH	1.50E-179	594	290
29	AAB65801.1|Nostoc_sp._1	Zehr	nifH	vnfH	2.30E-179	593.5	285
30	AFY30594.1|Calothrix_sp._1	Zehr	nifH	vnfH	2.50E-179	593.4	286
31	AAA21838.1|Nostoc_commune_1	Zehr	nifH	vnfH	3.20E-179	594	291
32	ACJ01032.1|Rhodospirillum_centenum_1	Zehr	nifH	vnfH	3.80E-179	592.7	292
33	EEG00294.1|'Nostoc_azollae'_1	Zehr	nifH	vnfH	6.20E-179	592.1	291
34	CBS86044.1|Azospirillum_lipoferum_1	Zehr	nifH	vnfH	6.20E-179	593.4	290
35	BAB72831.1|Nostoc_sp._1	Zehr	nifH	vnfH	7.10E-179	593.2	285
