	Database	OrgGene	Gene	SeqID	EValue	Bitscore	AlnLength
4175	FunGene	vnfD	vnfD	CCD03004;size=1;/1-460	0.0	1027.1	460
4173	FunGene	vnfD	vnfD	SFX09986;size=5;/1-460	0.0	1040.3	460
4174	FunGene	vnfD	vnfD	CAE26821;size=1;/1-460	0.0	1028.0	460
4176	FunGene	vnfD	vnfD	SEH51093;size=1;/1-460	0.0	1024.4	460
4177	FunGene	vnfD	vnfD	OIQ93815;size=1;/1-460	0.0	1023.8	460
4178	FunGene	vnfD	vnfD	ADP69796;size=1;/1-460	0.0	1016.6	460
4179	FunGene	vnfD	vnfD	EXJ15821;size=1;/1-460	1.1e-305	1003.6	460
4180	FunGene	vnfD	vnfD	OBQ03851;size=4;/1-460	4.2e-304	998.4	460
4181	FunGene	vnfD	vnfD	EKF04224;size=1;/1-460	2e-302	992.9	460
4182	FunGene	vnfD	vnfD	AKB51721;size=2;/1-460	2.1e-299	982.9	460
4183	FunGene	vnfD	vnfD	AAM04635;size=1;/1-460	2.6e-298	979.3	460
4184	FunGene	vnfD	vnfD	AKB48005;size=2;/1-460	2.3e-297	976.2	460
4185	FunGene	vnfD	vnfD	AKB81589;size=1;/1-460	1.2e-296	973.8	460
4186	FunGene	vnfD	vnfD	AHA37825;size=1;/1-460	1.4e-296	973.6	460
4187	FunGene	vnfD	vnfD	BAH06671;size=2;/1-460	6.5e-296	971.4	460
4188	FunGene	vnfD	vnfD	AKG34370;size=1;/1-460	1.2e-295	970.5	460
4189	FunGene	vnfD	vnfD	OMH20013;size=6;/1-460	3.9e-294	965.6	460
4190	FunGene	vnfD	vnfD	AGK98263;size=1;/1-460	1.6e-290	953.6	460
4191	FunGene	vnfD	vnfD	EKQ52376;size=1;/1-460	1.3e-287	944.0	459
4192	FunGene	vnfD	vnfD	ADU27824;size=1;/1-460	1.6e-285	937.2	460
3255	FunGene	nifD	nifD	Q60C80	1.3e-272	897.9	480
3256	FunGene	nifD	nifD	A4VJ71	1.3e-271	894.6	490
3257	FunGene	nifD	nifD	A7IBF5	2.1e-271	893.9	483
3258	FunGene	nifD	nifD	A5ENX1	2.4e-270	890.5	482
3259	FunGene	nifD	nifD	B8EJ24	2.6e-270	890.3	476
3260	FunGene	nifD	nifD	A8HQJ1	3.8e-270	889.8	483
3261	FunGene	nifD	nifD	C5BTB1	5.1e-270	889.4	489
3262	FunGene	nifD	nifD	Q6N0Z0	5.8e-270	889.2	475
3263	FunGene	nifD	nifD	Q2J1I0	7.6e-270	888.8	475
3264	FunGene	nifD	nifD	A4JRN8	1.5e-269	887.8	480
3265	FunGene	nifD	nifD	C6HVB1	6.4e-269	885.8	474
3266	FunGene	nifD	nifD	P07328	9.2e-269	885.2	490
3267	FunGene	nifD	nifD	Q20Y01	1.6e-268	884.5	477
3268	FunGene	nifD	nifD	Q07HY2	2.1e-268	884.0	476
3269	FunGene	nifD	nifD	B3DXX6	2.7e-268	883.7	479
3270	FunGene	nifD	nifD	A1VPS3	3.4e-268	883.4	480
3271	FunGene	nifD	nifD	C6P5Y2	3.5e-268	883.3	486
3272	FunGene	nifD	nifD	C5S6M4	5.2e-268	882.7	484
3273	FunGene	nifD	nifD	Q9AJ61	1.8e-267	881.0	476
3274	FunGene	nifD	nifD	A1K2V1	2e-267	880.8	488
3275	FunGene	nifD	nifD	C7RRG5	3.3e-267	880.1	485
3276	FunGene	nifD	nifD	P06121	3.9e-267	879.9	486
3277	FunGene	nifD	nifD	B1Y772	4.4e-267	879.7	479
3278	FunGene	nifD	nifD	B7JA98	1.3e-266	878.1	477
3279	FunGene	nifD	nifD	B2IET3	1.4e-266	878.0	476
3280	FunGene	nifD	nifD	Q2RVN3	1.6e-266	877.8	479
3281	FunGene	nifD	nifD	P06120	2.4e-266	877.3	482
3282	FunGene	nifD	nifD	Q7X1F7	3.2e-266	876.8	474
3283	FunGene	nifD	nifD	Q8KJ97	1.1e-265	875.1	483
3284	FunGene	nifD	nifD	P77874	1.7e-265	874.5	478
3285	FunGene	nifD	nifD	Q13N41	2.4e-265	874.0	480
3286	FunGene	nifD	nifD	A9H5W5	3.1e-265	873.6	487
3287	FunGene	nifD	nifD	C4LAS6	3.3e-265	873.5	482
3288	FunGene	nifD	nifD	D0EJB0	4.3e-265	873.1	484
3289	FunGene	nifD	nifD	C7DPA6	1.4e-264	871.5	482
3290	FunGene	nifD	nifD	B2JYD2	1.7e-264	871.2	480
3291	FunGene	nifD	nifD	C7DPA3	5.2e-264	869.6	485
3292	FunGene	nifD	nifD	C7DP58	6.1e-264	869.3	485
3293	FunGene	nifD	nifD	B2AIZ6	1.3e-263	868.2	479
3294	FunGene	nifD	nifD	B3F2I8	1.6e-263	868.0	476
3295	FunGene	nifD	nifD	Q8KIN7	1.6e-263	867.9	486
3296	FunGene	nifD	nifD	C7DP82	1.8e-263	867.8	488
3297	FunGene	nifD	nifD	Q47G68	1.8e-263	867.8	487
3298	FunGene	nifD	nifD	Q8GPM9	1.9e-263	867.7	489
3299	FunGene	nifD	nifD	D0EJC0	2.8e-263	867.1	484
3300	FunGene	nifD	nifD	P00464	2.8e-263	867.1	488
3301	FunGene	nifD	nifD	A4WRY4	3.4e-263	866.9	486
3302	FunGene	nifD	nifD	Q3J0H2	4.1e-263	866.6	486
3303	FunGene	nifD	nifD	D0EJC5	6e-263	866.1	483
3304	FunGene	nifD	nifD	C8SJQ3	7.4e-263	865.8	484
3305	FunGene	nifD	nifD	A4TZV2	8.5e-263	865.6	473
3306	FunGene	nifD	nifD	B6IXK7	1.3e-262	864.9	485
3307	FunGene	nifD	nifD	B0UAK3	1.4e-262	864.8	488
3308	FunGene	nifD	nifD	Q0GY15	1.6e-262	864.7	488
3309	FunGene	nifD	nifD	B4AZA4	1.8e-262	864.5	474
3310	FunGene	nifD	nifD	P06769	1.9e-262	864.4	483
3311	FunGene	nifD	nifD	C7DP61	2.1e-262	864.3	486
3312	FunGene	nifD	nifD	B7KG75	2.2e-262	864.2	474
3313	FunGene	nifD	nifD	Q8GPM4	3.5e-262	863.5	489
3314	FunGene	nifD	nifD	A0L6W9	4.4e-262	863.2	480
3315	FunGene	nifD	nifD	P19066	4.7e-262	863.1	491
3316	FunGene	nifD	nifD	Q7X5B3	5.5e-262	862.9	488
3317	FunGene	nifD	nifD	A1KYJ7	2e-261	861.0	476
3318	FunGene	nifD	nifD	Q44485	4e-261	860.0	477
3319	FunGene	nifD	nifD	Q55029	4.3e-261	859.9	474
3320	FunGene	nifD	nifD	Q7X5B2	4.5e-261	859.9	488
3321	FunGene	nifD	nifD	D0EJB7	6.3e-261	859.4	483
3322	FunGene	nifD	nifD	C6C8T2	7.3e-261	859.2	482
3323	FunGene	nifD	nifD	Q8GPM6	7.9e-261	859.1	488
3324	FunGene	nifD	nifD	Q2W6Z8	8.4e-261	859.0	478
3325	FunGene	nifD	nifD	Q7X5B1	1.1e-260	858.6	487
3326	FunGene	nifD	nifD	B3F2J1	4.5e-260	856.6	478
3327	FunGene	nifD	nifD	Q3S2V5	8.5e-260	855.7	487
3329	FunGene	nifD	nifD	O07642	1.1e-259	855.2	478
3328	FunGene	nifD	nifD	B8ITG6	1.1e-259	855.2	488
3330	FunGene	nifD	nifD	Q4C2Y7	1.7e-259	854.6	476
3331	FunGene	nifD	nifD	Q4PJU5	3.5e-259	853.7	479
3332	FunGene	nifD	nifD	Q8GPM3	5.1e-259	853.1	478
3333	FunGene	nifD	nifD	Q1M7Z3	6.1e-259	852.8	485
3334	FunGene	nifD	nifD	B8HWE4	9.2e-259	852.3	477
3335	FunGene	nifD	nifD	C8Q2M4	2.4e-258	850.9	482
3336	FunGene	nifD	nifD	B3F2J4	5e-258	849.8	484
3337	FunGene	nifD	nifD	C8S0T3	8.3e-258	849.1	486
3338	FunGene	nifD	nifD	B3F2J0	9.1e-258	849.0	479
3339	FunGene	nifD	nifD	Q00239	9.5e-258	848.9	477
