	GenomeID	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	GB_GCA_900299075.1	OMIK01000052.1_7	OMIK01000052.1_10	OMIK01000052.1_11									OMIK01000089.1_6	OMIK01000089.1_8	OMIK01000089.1_7
1	GB_GCA_903942355.1	CAJAOR010000055.1_1	CAJAOR010000051.1_1	CAJAOR010000051.1_2											
2	GB_GCA_015057865.1	SVDH01000025.1_12	SVDH01000025.1_10	SVDH01000025.1_11											
3	GB_GCA_903929845.1	CAIYWF010000039.1_1	CAIYWF010000191.1_1	CAIYWF010000191.1_2									CAIYWF010000096.1_3	CAIYWF010000320.1_4	CAIYWF010000320.1_5
4	GB_GCA_016937775.1	JAFGVX010000051.1_7	JAFGVX010000053.1_4	JAFGVX010000053.1_3											
5	GB_GCA_902780115.1	CACZEJ010000030.1_5	CACZEJ010000132.1_6	CACZEJ010000132.1_7											
6	GB_GCA_902774525.1	CACYIR010000214.1_2	CACYIR010000198.1_1	CACYIR010000198.1_2											
7	GB_GCA_001462255.1	LIUJ01000308.1_1	LIUJ01000308.1_2	LIUJ01000204.1_1											
8	GB_GCA_003554505.1	PWGS01000305.1_5	PWGS01000305.1_8	PWGS01000305.1_9											
9	GB_GCA_016195465.1	JACPZO010000039.1_18	JACPZO010000030.1_20	JACPZO010000030.1_19											
10	GB_GCA_017544125.1	JAFYET010000390.1_6	JAFYET010000390.1_7	JAFYET010000390.1_8											
11	GB_GCA_005843815.1	SZYA01000046.1_55	SZYA01000046.1_58	SZYA01000008.1_13									SZYA01000008.1_6	SZYA01000008.1_8	SZYA01000008.1_7
12	GB_GCA_016222945.1	JACRPY010000002.1_158	JACRPY010000002.1_611	JACRPY010000002.1_612							JACRPY010000002.1_244	JACRPY010000004.1_259			
13	GB_GCA_013415575.1	JAAEES010000129.1_3	JAAEES010000013.1_11	JAAEES010000002.1_20							JAAEES010000174.1_2	JAAEES010000013.1_12			
14	GB_GCA_016234205.1	JACRGN010000001.1_31	JACRGN010000129.1_11	JACRGN010000129.1_10											
15	GB_GCA_002424625.1	DIKR01000134.1_12	DIKR01000046.1_43	DIKR01000046.1_44											
16	GB_GCA_002067325.1	MVQY01000182.1_26	MVQY01000165.1_40	MVQY01000165.1_39							MVQY01000083.1_5	MVQY01000049.1_2			
17	RS_GCF_004001245.1	NZ_AP018724.1_1778	NZ_AP018724.1_1919	NZ_AP018724.1_1918											
18	GB_GCA_002452855.1	DKFS01000036.1_24	DKFS01000031.1_40	DKFS01000031.1_39											
19	GB_GCA_003650865.1	QMSN01000139.1_4	QMSN01000033.1_7	QMSN01000033.1_6							QMSN01000042.1_7	QMSN01000033.1_5			
20	GB_GCA_900541485.1	UQJW01000003.1_32	UQJW01000001.1_30	UQJW01000001.1_31											
21	GB_GCA_015494725.1	WGAR01000151.1_3	WGAR01000017.1_8	WGAR01000017.1_7											
22	GB_GCA_003601795.1	PIXU01000194.1_9	PIXU01000248.1_5	PIXU01000248.1_3											
23	GB_GCA_017479805.1	JAFVBU010000074.1_7	JAFVBU010000074.1_3	JAFVBU010000074.1_4											
24	GB_GCA_016235255.1	JACRLM010000015.1_10	JACRLM010000031.1_16	JACRLM010000031.1_17											
25	GB_GCA_003519965.1	DOVS01000258.1_2	DOVS01000238.1_4	DOVS01000238.1_3											
26	RS_GCF_001509575.1	NZ_LMBR01000001.1_63	NZ_LMBR01000001.1_60	NZ_LMBR01000001.1_59									NZ_LMBR01000251.1_4	NZ_LMBR01000251.1_2	NZ_LMBR01000251.1_3
27	GB_GCA_905212365.1	CAJMEH010000015.1_15	CAJMEH010000043.1_8	CAJMEH010000037.1_4											
28	RS_GCF_003815015.1	NZ_RKRE01000003.1_522	NZ_RKRE01000001.1_593	NZ_RKRE01000001.1_594											
29	GB_GCA_002495625.1	DAGC01000005.1_12	DAGC01000013.1_88	DAGC01000013.1_89				DAGC01000002.1_83	DAGC01000013.1_93	DAGC01000002.1_85	DAGC01000005.1_74	DAGC01000004.1_81			
30	GB_GCA_002367355.1	DFBQ01000179.1_2	DFBQ01000120.1_7	DFBQ01000120.1_8											
31	GB_GCA_016194325.1	JACQBS010000142.1_13	JACQBS010000135.1_21	JACQBS010000135.1_22											
32	RS_GCF_000020465.1	NC_010803.1_695	NC_010803.1_692	NC_010803.1_691									NC_010803.1_2240	NC_010803.1_2238	NC_010803.1_2239
33	RS_GCF_003344365.2	NZ_PDNY02000071.1_632	NZ_PDNY02000071.1_628	NZ_PDNY02000071.1_627									NZ_PDNY02000071.1_1715	NZ_PDNY02000071.1_1713	NZ_PDNY02000071.1_1714
34	GB_GCA_016191335.1	JACPOW010000021.1_41	JACPOW010000042.1_12	JACPOW010000042.1_17											
35	GB_GCA_903891045.1	CAITDH010000371.1_3	CAITDH010000371.1_6	CAITDH010000372.1_2											
36	GB_GCA_002319815.1	DCFR01000082.1_7	DCFR01000082.1_10	DCFR01000082.1_11											
37	GB_GCA_013415565.1	JAAEET010000044.1_8	JAAEET010000024.1_22	JAAEET010000010.1_31							JAAEET010000040.1_10	JAAEET010000024.1_23			
38	RS_GCF_004745425.1	NZ_PGGK01000004.1_118	NZ_PGGK01000004.1_121	NZ_PGGK01000004.1_122							NZ_PGGK01000001.1_82	NZ_PGGK01000001.1_83			
39	RS_GCF_000006175.1	NC_014222.1_281	NC_014222.1_679	NC_014222.1_680							NC_014222.1_1635	NC_014222.1_699			
40	GB_GCA_017964745.1	JAGCRJ010000054.1_2	JAGCRJ010000255.1_2	JAGCRJ010000255.1_1											
41	GB_GCA_905235455.1	CAJOLL010000010.1_15	CAJOLL010000010.1_13	CAJOLL010000010.1_12											
42	RS_GCF_900141895.1	NZ_FQYT01000018.1_43	NZ_FQYT01000018.1_46	NZ_FQYT01000018.1_47											
43	GB_GCA_002501695.1	DANZ01000141.1_28	DANZ01000141.1_25	DANZ01000141.1_24							DANZ01000089.1_15	DANZ01000089.1_14			
44	GB_GCA_903866255.1	CAIPMW010000065.1_10	CAIPMW010000065.1_7	CAIPMW010000065.1_6									CAIPMW010000080.1_11	CAIPMW010000080.1_9	CAIPMW010000080.1_10
45	GB_GCA_012515445.1	JAAYYI010000124.1_8	JAAYYI010000036.1_5	JAAYYI010000036.1_4											
46	GB_GCA_900100095.1	FMTN01000009.1_120	FMTN01000009.1_124	FMTN01000009.1_123											
47	GB_GCA_902812435.1	CADDZA010000002.1_24	CADDZA010000032.1_9	CADDZA010000032.1_8											
48	GB_GCA_003661125.1	QMVO01000049.1_6	QMVO01000304.1_2	QMVO01000247.1_4							QMVO01000171.1_3	QMVO01000040.1_12			
49	GB_GCA_016219285.1	JACRNJ010000068.1_12	JACRNJ010000056.1_42	JACRNJ010000056.1_43											
50	GB_GCA_900314615.1	OMWA01000002.1_6	OMWA01000045.1_4	OMWA01000045.1_3							OMWA01000015.1_22	OMWA01000010.1_18			
51	GB_GCA_016283615.1	JAEENG010000039.1_16	JAEENG010000039.1_20	JAEENG010000039.1_19											
52	RS_GCF_902143375.2	NZ_CABFVA020000077.1_9	NZ_CABFVA020000117.1_4	NZ_CABFVA020000117.1_5											
53	GB_GCA_016124455.1	WGNQ01000004.1_74	WGNQ01000003.1_43	WGNQ01000003.1_42											
54	GB_GCA_903836465.1	CAILRB010000025.1_5	CAILRB010000025.1_8	CAILRB010000025.1_9									CAILRB010000023.1_75	CAILRB010000041.1_3	CAILRB010000041.1_2
55	GB_GCA_016765495.1	JAESPV010000032.1_39	JAESPV010000032.1_42	JAESPV010000011.1_1											
56	GB_GCA_016218375.1	JACREG010000171.1_2	JACREG010000092.1_1	JACREG010000092.1_4											
57	GB_GCA_017425245.1	JAFOOX010000037.1_91	JAFOOX010000004.1_8	JAFOOX010000004.1_7											
58	GB_GCA_018687785.1	LTBL01000001.1_984	LTBL01000001.1_1390	LTBL01000001.1_1389							LTBL01000001.1_602	LTBL01000001.1_1391			
59	GB_GCA_013374505.1	QENJ01000280.1_4	QENJ01000165.1_1	QENJ01000165.1_2							QENJ01000311.1_3	QENJ01000246.1_8			
60	GB_GCA_011051875.1	DRKI01000083.1_1	DRKI01000083.1_4	DRKI01000083.1_5											
61	GB_GCA_903824045.1	CAIJVD010000023.1_210	CAIJVD010000023.1_207	CAIJVD010000023.1_206									CAIJVD010000020.1_8	CAIJVD010000020.1_6	CAIJVD010000020.1_7
62	RS_GCF_900167015.1	NZ_FUXX01000010.1_26	NZ_FUXX01000010.1_53	NZ_FUXX01000010.1_52											
63	RS_GCF_002020805.1	NZ_MPRJ01000014.1_24	NZ_MPRJ01000024.1_24	NZ_MPRJ01000024.1_23											
64	RS_GCF_000025905.1	NC_014008.1_2849	NC_014008.1_2848	NC_014008.1_2847											
65	RS_GCF_000145295.1	NC_014408.1_41	NC_014408.1_148	NC_014408.1_147							NC_014408.1_103	NC_014408.1_1008			
66	GB_GCA_002404215.1	DHJG01000099.1_5	DHJG01000026.1_3	DHJG01000026.1_2											
67	GB_GCA_903887845.1	CAISRC010000142.1_23	CAISRC010000142.1_20	CAISRC010000142.1_19									CAISRC010000067.1_6	CAISRC010000067.1_8	CAISRC010000067.1_7
68	GB_GCA_002503885.1	DASQ01000002.1_34	DASQ01000002.1_31	DASQ01000002.1_30							DASQ01000056.1_10	DASQ01000039.1_27			
69	GB_GCA_003315675.1	NIZU01000043.1_1	NIZU01000043.1_5	NIZU01000043.1_6							NIZU01000005.1_7	NIZU01000004.1_5			
70	GB_GCA_002414145.1	DHYP01000060.1_13	DHYP01000031.1_11	DHYP01000031.1_12											
71	GB_GCA_013152485.1	JAADGG010000046.1_2	JAADGG010000047.1_8	JAADGG010000047.1_7											
72	GB_GCA_002308255.1	DBVZ01000039.1_6	DBVZ01000112.1_37	DBVZ01000112.1_36											
73	GB_GCA_014859645.1	JACUTV010000055.1_2	JACUTV010000115.1_4	JACUTV010000115.1_3											
74	GB_GCA_002839705.1	PGYO01000001.1_525	PGYO01000007.1_83	PGYO01000007.1_82							PGYO01000013.1_40	PGYO01000010.1_28			
75	RS_GCF_000421585.1	NZ_ATXH01000004.1_89	NZ_ATXH01000010.1_29	NZ_ATXH01000010.1_28											
76	RS_GCF_000217795.1	NC_015681.1_190	NC_015681.1_1061	NC_015681.1_1062											
77	GB_GCA_017381365.1	JAFOCI010000001.1_25	JAFOCI010000001.1_21	JAFOCI010000001.1_22											
78	GB_GCA_002392275.1	DGGQ01000104.1_3	DGGQ01000104.1_5	DGGQ01000104.1_6											
79	RS_GCF_016583765.1	NZ_NRRR01000003.1_12	NZ_NRRR01000002.1_122	NZ_NRRR01000002.1_123									NZ_NRRR01000004.1_51	NZ_NRRR01000004.1_48	NZ_NRRR01000004.1_50
80	GB_GCA_019163035.1	JAFLKV010000128.1_7	JAFLKV010000125.1_2	JAFLKV010000125.1_1											
81	RS_GCF_018854495.1	NZ_JABBDR010000096.1_4	NZ_JABBDR010000167.1_42	NZ_JABBDR010000167.1_41											
82	GB_GCA_002840165.1	PGZN01000004.1_39	PGZN01000004.1_42	PGZN01000004.1_43											
83	RS_GCF_002813695.1	NZ_CP017768.1_1933	NZ_CP017768.1_2078	NZ_CP017768.1_2075							NZ_CP017768.1_2024	NZ_CP017768.1_2345			
84	GB_GCA_003584875.1	QVQD01000091.1_2	QVQD01000094.1_16	QVQD01000094.1_15											
85	RS_GCF_004103755.1	NZ_CP035283.1_2370	NZ_CP035283.1_2362	NZ_CP035283.1_2363											
86	RS_GCF_000429345.1	NZ_AUBR01000057.1_7	NZ_AUBR01000070.1_7	NZ_AUBR01000070.1_8											
87	GB_GCA_017959225.1	JAGDBD010000039.1_1	JAGDBD010000017.1_2	JAGDBD010000107.1_4											
88	RS_GCF_009914725.1	NZ_JAAAWJ010000041.1_2	NZ_JAAAWJ010000060.1_11	NZ_JAAAWJ010000060.1_10							NZ_JAAAWJ010000098.1_2	NZ_JAAAWJ010000030.1_1			
89	GB_GCA_016217595.1	JACRHS010000005.1_143	JACRHS010000005.1_144	JACRHS010000005.1_145											
90	GB_GCA_016208225.1	JACQYM010000212.1_1	JACQYM010000212.1_4	JACQYM010000212.1_5											
91	RS_GCF_000784355.1	NZ_KN360939.1_51	NZ_KN360939.1_48	NZ_KN360939.1_47											
92	RS_GCF_904397815.1	NZ_CAJFOT010000124.1_16	NZ_CAJFOT010000127.1_1	NZ_CAJFOT010000058.1_9											
93	GB_GCA_007130885.1	SLRQ01000066.1_67	SLRQ01000066.1_86	SLRQ01000039.1_17											
94	GB_GCA_001805105.1	MHEE01000002.1_105	MHEE01000009.1_171	MHEE01000009.1_170											
95	GB_GCA_007125455.1	SLDE01000071.1_21	SLDE01000172.1_3	SLDE01000172.1_2											
96	RS_GCF_000025725.1	NC_013943.1_2846	NC_013943.1_1044	NC_013943.1_1045											
97	GB_GCA_003564775.1	PXEI01000352.1_7	PXEI01000352.1_6	PXEI01000352.1_5											
98	GB_GCA_002898135.1	BDTQ01000224.1_3	BDTQ01000100.1_2	BDTQ01000100.1_3											
99	GB_GCA_001872725.1	MNWR01000091.1_14	MNWR01000108.1_10	MNWR01000108.1_11											
100	GB_GCA_001604585.1	LVBW01000006.1_5	LVBW01000006.1_6	LVBW01000006.1_7											
101	GB_GCA_001443525.1	LKPX01000013.1_58	LKPX01000013.1_55	LKPX01000013.1_54				LKPX01000006.1_66	LKPX01000006.1_69	LKPX01000006.1_64					
102	GB_GCA_013141125.1	JABFRO010000001.1_651	JABFRO010000001.1_648	JABFRO010000001.1_649											
103	RS_GCF_016918505.1	NZ_JAFFPZ010000001.1_22	NZ_JAFFPZ010000001.1_19	NZ_JAFFPZ010000001.1_18											
104	GB_GCA_903839405.1	CAIMCD010000025.1_4	CAIMCD010000005.1_82	CAIMCD010000005.1_83									CAIMCD010000013.1_14	CAIMCD010000013.1_12	CAIMCD010000013.1_13
105	RS_GCF_000359585.1	NZ_APMH01000029.1_20	NZ_APMH01000045.1_9	NZ_APMH01000045.1_8											
106	GB_GCA_016212085.1	JACRHL010000020.1_88	JACRHL010000011.1_58	JACRHL010000011.1_57											
107	GB_GCA_016217785.1	JACRGA010000025.1_148	JACRGA010000025.1_10	JACRGA010000025.1_13							JACRGA010000025.1_96	JACRGA010000005.1_41			
108	GB_GCA_017394565.1	JAFPXW010000381.1_3	JAFPXW010000195.1_1	JAFPXW010000195.1_2											
109	GB_GCA_002753395.1	PEAB01000018.1_29	PEAB01000102.1_6	PEAB01000102.1_5											
110	RS_GCF_000020645.1	NC_011060.1_1961	NC_011060.1_1964	NC_011060.1_1965									NC_011060.1_319	NC_011060.1_321	NC_011060.1_320
111	GB_GCA_002839605.1	PGYK01000008.1_66	PGYK01000018.1_17	PGYK01000018.1_16							PGYK01000008.1_58	PGYK01000018.1_18			
112	RS_GCF_007655255.1	NZ_VMYE01000007.1_87	NZ_VMYE01000015.1_50	NZ_VMYE01000015.1_49											
113	GB_GCA_011620315.1	WOZO01000054.1_23	WOZO01000063.1_20	WOZO01000201.1_34											
114	GB_GCA_003242895.1	QKMY01000053.1_32	QKMY01000053.1_35	QKMY01000053.1_36											
115	GB_GCA_903865705.1	CAIPKT010000043.1_10	CAIPKT010000043.1_13	CAIPKT010000119.1_3									CAIPKT010000126.1_19	CAIPKT010000126.1_17	CAIPKT010000126.1_18
116	GB_GCA_002368605.1	DFEB01000077.1_10	DFEB01000017.1_9	DFEB01000079.1_4											
117	GB_GCA_018823285.1	JAHJIQ010000030.1_109	JAHJIQ010000030.1_112	JAHJIQ010000030.1_113											
118	RS_GCF_017873855.1	NZ_JAGGKR010000001.1_829	NZ_JAGGKR010000001.1_832	NZ_JAGGKR010000001.1_833							NZ_JAGGKR010000001.1_223	NZ_JAGGKR010000001.1_205			
119	GB_GCA_003159495.1	PLPI01000144.1_14	PLPI01000144.1_17	PLPI01000144.1_18											
120	GB_GCA_016208235.1	JACQYN010000073.1_8	JACQYN010000073.1_4	JACQYN010000073.1_2											
121	GB_GCA_903838095.1	CAILXE010000153.1_1	CAILXE010000386.1_2	CAILXE010000386.1_3									CAILXE010000402.1_3	CAILXE010000466.1_3	CAILXE010000466.1_4
122	GB_GCA_900769985.1	CAAGIS010000051.1_17	CAAGIS010000051.1_13	CAAGIS010000051.1_14											
123	GB_GCA_018822105.1	JAHJLB010000006.1_39	JAHJLB010000006.1_42	JAHJLB010000006.1_43											
124	GB_GCA_002509745.1	DAWK01000026.1_1	DAWK01000087.1_27	DAWK01000087.1_24							DAWK01000003.1_23	DAWK01000183.1_16			
125	RS_GCF_009811655.1	NZ_BGJX01000020.1_32	NZ_BGJX01000002.1_83	NZ_BGJX01000002.1_82											
126	RS_GCF_017873415.1	NZ_JAGGKD010000007.1_28	NZ_JAGGKD010000007.1_25	NZ_JAGGKD010000007.1_24							NZ_JAGGKD010000008.1_69	NZ_JAGGKD010000008.1_68			
127	GB_GCA_017994695.1	JAGOKF010000028.1_9	JAGOKF010000125.1_1	JAGOKF010000144.1_3											
128	GB_GCA_903874585.1	CAIQSY010000120.1_5	CAIQSY010000120.1_8	CAIQSY010000120.1_9									CAIQSY010000070.1_3	CAIQSY010000070.1_5	CAIQSY010000070.1_4
129	GB_GCA_002842345.1	PHCU01000097.1_11	PHCU01000233.1_2	PHCU01000233.1_3											
130	GB_GCA_002742695.1	DLUI01000057.1_8	DLUI01000145.1_7	DLUI01000145.1_9											
131	GB_GCA_000310245.1	CP003920.1_480	CP003920.1_1315	CP003920.1_1314											
132	GB_GCA_902785635.1	CACZZH010000056.1_22	CACZZH010000106.1_12	CACZZH010000106.1_11											
133	GB_GCA_009773475.1	WSXV01000005.1_5	WSXV01000005.1_8	WSXV01000005.1_9											
134	GB_GCA_903848935.1	CAINHO010000013.1_32	CAINHO010000027.1_42	CAINHO010000027.1_43											
135	GB_GCA_002424645.1	DIKU01000120.1_8	DIKU01000150.1_7	DIKU01000150.1_6											
136	RS_GCF_018476885.1	NZ_JAHCVJ010000002.1_222	NZ_JAHCVJ010000007.1_148	NZ_JAHCVJ010000007.1_149											
137	GB_GCA_002413345.1	DHWU01000017.1_21	DHWU01000017.1_16	DHWU01000017.1_17				DHWU01000023.1_43	DHWU01000027.1_1	DHWU01000023.1_39					
138	GB_GCA_016208975.1	JACQXA010000004.1_1108	JACQXA010000004.1_787	JACQXA010000004.1_786											
139	GB_GCA_016200345.1	JACQEX010000100.1_3	JACQEX010000062.1_8	JACQEX010000062.1_9											
140	GB_GCA_012519845.1	JAAYPK010000100.1_11	JAAYPK010000100.1_12	JAAYPK010000100.1_13											
141	GB_GCA_903959855.1	CAJBYR010000196.1_9	CAJBYR010000042.1_9	CAJBYR010000042.1_8											
142	GB_GCA_001783695.1	MFNE01000032.1_3	MFNE01000038.1_26	MFNE01000038.1_25											
143	GB_GCA_015688915.1	JAATGX010000211.1_20	JAATGX010000194.1_13	JAATGX010000194.1_14											
144	GB_GCA_002633015.1	NSIU01000001.1_166	NSIU01000013.1_17	NSIU01000013.1_16											
145	GB_GCA_017983615.1	JAGOBB010000001.1_267	JAGOBB010000023.1_19	JAGOBB010000023.1_20											
146	GB_GCA_018814405.1	JAHIZO010000005.1_77	JAHIZO010000003.1_20	JAHIZO010000003.1_21											
147	GB_GCA_903928685.1	CAIYRS010000036.1_76	CAIYRS010000050.1_49	CAIYRS010000050.1_48											
148	GB_GCA_011322625.1	DRMH01000101.1_23	DRMH01000097.1_6	DRMH01000097.1_7											
149	RS_GCF_001730225.1	NZ_MIJE01000032.1_125	NZ_MIJE01000032.1_122	NZ_MIJE01000032.1_121											
150	GB_GCA_002482565.1	DLGG01000139.1_36	DLGG01000139.1_33	DLGG01000139.1_32											
151	RS_GCF_002240205.1	NZ_CP022571.1_1532	NZ_CP022571.1_1535	NZ_CP022571.1_1536									NZ_CP022571.1_2077	NZ_CP022571.1_2075	NZ_CP022571.1_2076
152	GB_GCA_017634275.1	JAGBNQ010000052.1_9	JAGBNQ010000052.1_8	JAGBNQ010000052.1_7											
153	GB_GCA_016177775.1	JACOUQ010000004.1_134	JACOUQ010000027.1_53	JACOUQ010000027.1_54											
154	GB_GCA_016471375.1	WGLZ01000046.1_1	WGLZ01000090.1_23	WGLZ01000090.1_21									WGLZ01000058.1_30	WGLZ01000058.1_27	WGLZ01000005.1_17
155	GB_GCA_902778245.1	CACYXH010000065.1_10	CACYXH010000065.1_13	CACYXH010000065.1_12											
156	GB_GCA_005843825.1	SZXX01000015.1_85	SZXX01000015.1_82	SZXX01000015.1_81									SZXX01000006.1_29	SZXX01000006.1_31	SZXX01000006.1_30
157	GB_GCA_013824615.1	PNOC01000088.1_3	PNOC01000073.1_16	PNOC01000073.1_15											
158	GB_GCA_002402635.1	DHGE01000043.1_14	DHGE01000137.1_3	DHGE01000141.1_1											
159	GB_GCA_005774545.1	VAUL01000011.1_42	VAUL01000018.1_23	VAUL01000018.1_22											
160	GB_GCA_003250325.1	QKGU01000333.1_2	QKGU01000327.1_3	QKGU01000327.1_4											
161	GB_GCA_016195565.1	JACPZK010000029.1_13	JACPZK010000022.1_59	JACPZK010000022.1_58											
162	GB_GCA_013349285.1	DUZU01000023.1_7	DUZU01000023.1_4	DUZU01000023.1_3											
163	RS_GCF_003463065.1	NZ_QSCM01000017.1_18	NZ_QSCM01000002.1_187	NZ_QSCM01000006.1_67											
164	GB_GCA_003989065.1	RXIW01000009.1_12	RXIW01000037.1_2	RXIW01000037.1_3	RXIW01000090.1_2	RXIW01000045.1_1	RXIW01000090.1_4								
165	GB_GCA_007694905.1	REEU01000186.1_72	REEU01000229.1_20	REEU01000229.1_21											
166	RS_GCF_000195755.1	NC_005863.1_15	NC_005863.1_12	NC_005863.1_11											
167	GB_GCA_017859955.1	JAFNAB010000032.1_19	JAFNAB010000032.1_22	JAFNAB010000032.1_23											
168	GB_GCA_018897105.1	JAHILF010000141.1_23	JAHILF010000141.1_20	JAHILF010000141.1_19											
169	GB_GCA_016213265.1	JACRBA010000173.1_39	JACRBA010000001.1_3	JACRBA010000001.1_2											
170	GB_GCA_013140405.1	JABFSV010000162.1_2	JABFSV010000253.1_24	JABFSV010000253.1_23											
171	GB_GCA_003599505.1	QZKO01000018.1_66	QZKO01000030.1_20	QZKO01000073.1_12											
172	RS_GCF_000385335.1	NZ_ARWA01000001.1_665	NZ_ARWA01000001.1_1498	NZ_ARWA01000001.1_1499											
173	GB_GCA_002067965.1	MVRN01000118.1_10	MVRN01000118.1_13	MVRN01000118.1_14											
174	RS_GCF_008933955.1	NZ_WBXO01000001.1_291	NZ_WBXO01000004.1_20	NZ_WBXO01000004.1_21									NZ_WBXO01000004.1_231	NZ_WBXO01000004.1_230	NZ_WBXO01000004.1_232
175	RS_GCF_001715975.1	NZ_MARB01000030.1_17	NZ_MARB01000010.1_41	NZ_MARB01000010.1_40											
176	GB_GCA_002408105.1	DHQM01000013.1_2	DHQM01000043.1_3	DHQM01000043.1_4											
177	RS_GCF_000246895.1	NZ_BAEV01000114.1_9	NZ_BAEV01000046.1_23	NZ_BAEV01000046.1_22											
178	GB_GCA_903994455.1	CAJEXI010000041.1_11	CAJEXI010000041.1_8	CAJEXI010000041.1_7									CAJEXI010000004.1_96	CAJEXI010000004.1_98	CAJEXI010000004.1_97
179	GB_GCA_015233725.1	JADFXD010000003.1_50	JADFXD010000012.1_35	JADFXD010000012.1_34											
180	RS_GCF_000430625.1	NZ_AUMJ01000004.1_167	NZ_KE387171.1_234	NZ_KE387171.1_233											
181	GB_GCA_002410325.1	DHRK01000019.1_68	DHRK01000019.1_71	DHRK01000019.1_72											
182	GB_GCA_015233685.1	JADFXF010000012.1_19	JADFXF010000035.1_16	JADFXF010000035.1_18											
183	GB_GCA_002376545.1	DFOH01000050.1_167	DFOH01000052.1_11	DFOH01000052.1_10											
184	GB_GCA_002835825.1	PIZH01000249.1_3	PIZH01000222.1_3	PIZH01000222.1_2							PIZH01000334.1_2	PIZH01000040.1_9			
185	GB_GCA_001509375.1	LGFT01000081.1_1	LGFT01000081.1_4	LGFT01000081.1_5							LGFT01000025.1_6	LGFT01000010.1_31			
186	GB_GCA_900102065.1	FMVK01000010.1_15	FMVK01000010.1_19	FMVK01000010.1_18											
187	RS_GCF_000297095.1	NZ_AEEA01000066.1_60	NZ_AEEA01000066.1_57	NZ_AEEA01000066.1_56				NZ_AEEA01000019.1_81	NZ_AEEA01000019.1_78	NZ_AEEA01000019.1_83					
