	GenomeID	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	RS_GCF_000016125.1	NC_009135.1_1041	NC_009135.1_672	NC_009135.1_673							NC_009135.1_1241	NC_009135.1_1571			
1	GB_GCA_013388565.1	JACAEZ010000208.1_6	JACAEZ010000009.1_8	JACAEZ010000009.1_6											
2	GB_GCA_900753095.1	CAADXT010000087.1_4	CAADXT010000148.1_4	CAADXT010000148.1_5											
3	RS_GCF_000018485.1	NC_009975.1_310	NC_009975.1_1821	NC_009975.1_1820							NC_009975.1_497	NC_009975.1_824			
4	RS_GCF_006265165.1	NZ_VDCH01000012.1_37	NZ_VDCH01000015.1_12	NZ_VDCH01000015.1_13									NZ_VDCH01000023.1_3	NZ_VDCH01000023.1_1	NZ_VDCH01000023.1_2
5	RS_GCF_000308215.1	NZ_CAJE01000011.1_48	NZ_CAJE01000024.1_42	NZ_CAJE01000024.1_43				NZ_CAJE01000013.1_248	NZ_CAJE01000013.1_252	NZ_CAJE01000013.1_246	NZ_CAJE01000012.1_41	NZ_CAJE01000020.1_9			
6	GB_GCA_903901395.1	CAIUQW010000178.1_17	CAIUQW010000260.1_5	CAIUQW010000260.1_4											
7	GB_GCA_016931495.1	JAFGER010000001.1_20	JAFGER010000034.1_2	JAFGER010000034.1_1											
8	RS_GCF_001747405.1	NZ_CP017305.1_1994	NZ_CP017305.1_616	NZ_CP017305.1_615									NZ_CP017305.1_2391	NZ_CP017305.1_2389	NZ_CP017305.1_2390
9	GB_GCA_900556935.1	USQL01000060.1_10	USQL01000006.1_7	USQL01000006.1_8											
10	GB_GCA_903882665.1	CAIRXW010000023.1_85	CAIRXW010000011.1_13	CAIRXW010000011.1_12									CAIRXW010000013.1_26	CAIRXW010000013.1_24	CAIRXW010000013.1_25
11	GB_GCA_903929845.1	CAIYWF010000221.1_1	CAIYWF010000191.1_1	CAIYWF010000191.1_2									CAIYWF010000096.1_3	CAIYWF010000320.1_4	CAIYWF010000320.1_5
12	GB_GCA_016200345.1	JACQEX010000020.1_30	JACQEX010000062.1_8	JACQEX010000062.1_9											
13	GB_GCA_002411365.1	DHSD01000027.1_69	DHSD01000028.1_41	DHSD01000022.1_54											
14	GB_GCA_005843835.1	SZXZ01000011.1_71	SZXZ01000084.1_4	SZXZ01000084.1_5									SZXZ01000009.1_15	SZXZ01000009.1_17	SZXZ01000009.1_16
15	RS_GCF_017875625.1	NZ_JAGGMU010000002.1_121	NZ_JAGGMU010000001.1_35	NZ_JAGGMU010000001.1_36							NZ_JAGGMU010000003.1_193	NZ_JAGGMU010000001.1_52			
16	GB_GCA_017479085.1	JAFVCQ010000119.1_6	JAFVCQ010000235.1_9	JAFVCQ010000235.1_8											
17	GB_GCA_903942355.1	CAJAOR010000055.1_1	CAJAOR010000051.1_1	CAJAOR010000051.1_2									CAJAOR010000041.1_5	CAJAOR010000122.1_20	CAJAOR010000182.1_2
18	GB_GCA_002419025.1	DIFG01000037.1_14	DIFG01000025.1_6	DIFG01000025.1_7											
19	GB_GCA_011051075.1	DREN01000037.1_6	DREN01000079.1_2	DREN01000079.1_3											
20	GB_GCA_002297935.1	DBLC01000017.1_13	DBLC01000050.1_10	DBLC01000050.1_11											
21	RS_GCF_000006175.1	NC_014222.1_140	NC_014222.1_679	NC_014222.1_680							NC_014222.1_1635	NC_014222.1_699			
22	GB_GCA_016235255.1	JACRLM010000015.1_10	JACRLM010000031.1_16	JACRLM010000031.1_17											
23	GB_GCA_903865705.1	CAIPKT010000158.1_4	CAIPKT010000043.1_13	CAIPKT010000119.1_3									CAIPKT010000126.1_19	CAIPKT010000126.1_17	CAIPKT010000126.1_18
24	GB_GCA_017883495.1	JADGNL010000080.1_6	JADGNL010000179.1_2	JADGNL010000178.1_1							JADGNL010000113.1_6	JADGNL010000179.1_3			
25	RS_GCF_004309735.1	NZ_SIXC01000004.1_118	NZ_SIXC01000007.1_105	NZ_SIXC01000007.1_106											
26	GB_GCA_017634555.1	JAGBNF010000033.1_17	JAGBNF010000007.1_17	JAGBNF010000007.1_16											
27	GB_GCA_902780985.1	CACZHN010000055.1_5	CACZHN010000214.1_4	CACZHN010000002.1_11											
28	GB_GCA_903859055.1	CAIOLC010000160.1_1	CAIOLC010000177.1_16	CAIOLC010000177.1_17									CAIOLC010000109.1_4	CAIOLC010000109.1_6	CAIOLC010000109.1_5
29	RS_GCF_000020645.1	NC_011060.1_2452	NC_011060.1_1964	NC_011060.1_1965									NC_011060.1_319	NC_011060.1_321	NC_011060.1_320
30	GB_GCA_016208225.1	JACQYM010000117.1_21	JACQYM010000212.1_4	JACQYM010000212.1_5											
31	GB_GCA_005843805.1	SZXY01000027.1_12	SZXY01000114.1_8	SZXY01000114.1_9									SZXY01000016.1_40	SZXY01000016.1_42	SZXY01000016.1_41
32	GB_GCA_016234205.1	JACRGN010000001.1_31	JACRGN010000129.1_11	JACRGN010000129.1_10											
