	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	WP_039801084.1	Mise	nifH	vnfH	2.20E-179	589.2	287
1	WP_144571912.1	Mise	nifH	vnfH	2.00E-178	586	287
2	WP_090943799.1	Mise	nifH	vnfH	2.50E-178	587.4	287
3	WP_012698955.1	Mise	nifH	vnfH	3.60E-177	583.5	287
4	WP_183166011.1	Mise	nifH	vnfH	5.20E-176	578.1	287
5	WP_026687661.1	Mise	nifH	vnfH	1.40E-175	578.3	287
6	WP_024873197.1	Mise	nifH	vnfH	1.50E-175	576.6	287
7	WP_004203553.1	Mise	nifH	nifH	1.50E-175	574.5	289
8	WP_090899895.1	Mise	nifH	nifH	1.70E-175	577.8	288
9	WP_012698831.1	Mise	nifH	nifH	2.00E-175	577.6	289
10	WP_166271360.1	Mise	nifH	vnfH	3.30E-175	577.1	287
11	WP_077300426.1	Mise	nifH	vnfH	5.10E-175	576.5	287
12	WP_144570098.1	Mise	nifH	vnfH	5.30E-175	576.4	287
13	WP_172202846.1	Mise	nifH	vnfH	7.30E-175	576	287
14	WP_153108757.1	Mise	nifH	vnfH	8.40E-175	575.8	287
15	WP_131183834.1	Mise	nifH	nifH	1.80E-174	574.5	289
16	WP_203388507.1	Mise	nifH	vnfH	1.80E-174	574.7	287
17	WP_138149724.1	Mise	nifH	vnfH	1.90E-174	574.6	287
18	WP_210394708.1	Mise	nifH	vnfH	2.40E-174	574.3	287
19	WP_018607902.1	Mise	nifH	vnfH	2.40E-174	574.3	287
20	WP_172148988.1	Mise	nifH	nifH	2.50E-174	574	289
21	WP_090349186.1	Mise	nifH	nifH	2.80E-174	573.9	289
22	WP_136387018.1	Mise	nifH	vnfH	3.00E-174	574	287
23	WP_104002709.1	Mise	nifH	nifH	3.30E-174	573.6	289
24	WP_036190066.1	Mise	nifH	nifH	3.60E-174	573.5	289
25	WP_153975375.1	Mise	nifH	vnfH	3.80E-174	573.6	286
26	WP_127477635.1	Mise	nifH	vnfH	3.90E-174	573.6	287
27	WP_200535621.1	Mise	nifH	nifH	4.40E-174	573.2	289
28	WP_035885754.1	Mise	nifH	nifH	4.40E-174	573.2	289
29	WP_188748037.1	Mise	nifH	nifH	4.90E-174	573.1	289
30	WP_013319646.1	Mise	nifH	nifH	5.00E-174	573	289
31	WP_183166805.1	Mise	nifH	vnfH	5.20E-174	573.2	287
32	WP_027854782.1	Mise	nifH	nifH	5.20E-174	573	289
33	WP_003294714.1	Mise	nifH	nifH	6.00E-174	572.8	289
34	WP_110202393.1	Mise	nifH	nifH	6.10E-174	572.7	289
35	WP_153117593.1	Mise	nifH	vnfH	6.40E-174	572.9	287
36	WP_090068485.1	Mise	nifH	vnfH	6.50E-174	572.9	286
37	WP_090444295.1	Mise	nifH	nifH	6.90E-174	572.6	289
38	WP_044616592.1	Mise	nifH	vnfH	7.30E-174	572.7	287
39	WP_024872641.1	Mise	nifH	vnfH	8.90E-174	572.4	287
40	WP_079432933.1	Mise	nifH	nifH	9.60E-174	572.1	289
41	WP_045682609.1	Mise	nifH	nifH	9.80E-174	572.1	289
42	WP_084879064.1	Mise	nifH	nifH	1.10E-173	571.9	289
43	WP_102041594.1	Mise	nifH	vnfH	1.10E-173	572.2	287
44	WP_207894684.1	Mise	nifH	vnfH	1.10E-173	572.1	287
