	GenomeID	nifH	nifD	nifK	vnfH	vnfD	vnfK	anfH	anfD	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	GB_GCA_000010645.1	AP010656.1_637	AP010656.1_640	AP010656.1_641											
1	GB_GCA_000155695.1	DS990592.1_4258	DS990592.1_4257	DS990592.1_4256											
2	GB_GCA_000174895.1	ACOK01000116.1_47	ACOK01000094.1_8	ACOK01000094.1_9											
3	GB_GCA_000179315.1	ADZZ01000138.1_15	ADZZ01000138.1_18	ADZZ01000138.1_19											
4	GB_GCA_000242935.3	CP007053.1_198	CP007053.1_199	CP007053.1_200											
5	GB_GCA_000306725.1	CP003083.1_1272	CP003083.1_1275	CP003083.1_1276							CP003083.1_904	CP003083.1_903			
6	GB_GCA_000307955.1	ALAO01000346.1_3	ALAO01000123.1_4	ALAO01000123.1_5											
7	GB_GCA_000383295.1	KB911066.1_386	KB911066.1_378	KB911066.1_379											
8	GB_GCA_000403255.2	KE159582.1_174	KE159582.1_176	KE159582.1_177											
9	GB_GCA_000421045.1	ATWC01000001.1_73	ATWC01000001.1_77	ATWC01000001.1_76											
10	GB_GCA_000526575.1	JAGI01000003.1_533	JAGI01000003.1_530	JAGI01000003.1_529											
11	GB_GCA_000681355.2	JJNX02000025.1_4	JJNX02000025.1_7	JJNX02000025.1_8											
12	GB_GCA_000701625.1	JNJK01000002.1_267	JNJK01000002.1_265	JNJK01000002.1_266											
13	GB_GCA_000702085.1	JNKP01000004.1_19	JNKP01000004.1_16	JNKP01000004.1_17											
14	GB_GCA_000702545.1	JNIO01000007.1_158	JNIO01000007.1_159	JNIO01000007.1_160											
15	GB_GCA_000702685.1	JNJD01000007.1_360	JNJD01000007.1_357	JNJD01000007.1_358											
16	GB_GCA_000739515.1	DF820458.1_517	DF820458.1_514	DF820458.1_513											
17	GB_GCA_000746015.1	JQKK01000025.1_18	JQKK01000025.1_31	JQKK01000025.1_20											
18	GB_GCA_000747625.2	JQDQ01000073.1_12	JQDQ01000073.1_15	JQDQ01000073.1_16											
19	GB_GCA_000769715.1	JROS01000008.1_53	JROS01000008.1_50	JROS01000008.1_49											
20	GB_GCA_000770645.1	JQID01000095.1_11	JQID01000095.1_10	JQID01000095.1_9											
21	GB_GCA_000802095.1	JUEB01000015.1_21	JUEB01000015.1_24	JUEB01000015.1_25											
22	GB_GCA_000953215.1	LM995447.1_827	LM995447.1_822	LM995447.1_823											
23	GB_GCA_000961575.1	LADP01000032.1_43	LADP01000032.1_46	LADP01000032.1_47											
24	GB_GCA_000961585.1	LADN01000053.1_49	LADN01000053.1_46	LADN01000053.1_45											
25	GB_GCA_000961595.1	LADO01000055.1_78	LADO01000055.1_81	LADO01000055.1_82											
