	GenomeID	GTDB_Tax	NCBI_Tax	nifH	EV_nifH	bitscore_nifH	nifD	EV_nifD	bitscore_nifD	nifK	EV_nifK	bitscore_nifK	vnfH	EV_vnfH	bitscore_vnfH	vnfD	EV_vnfD	bitscore_vnfD	vnfK	EV_vnfK	bitscore_vnfK	anfH	EV_anfH	bitscore_anfH	anfD	EV_anfD	bitscore_anfD	anfK	EV_anfK	bitscore_anfK	nflD	EV_nflD	bitscore_nflD	nflH	EV_nflH	bitscore_nflH	ChlN	EV_ChlN	bitscore_ChlN	ChIl	EV_ChIl	bitscore_ChIl	ChlB	EV_ChlB	bitscore_ChlB
0	RS_GCF_000016125.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis C5	NC_009135.1_1041	1.3000000000000002e-57	192.0	NC_009135.1_672	6.700000000000001e-165	546.3	NC_009135.1_673	1.4e-162	538.2																			NC_009135.1_1241	6.3e-140	462.8	NC_009135.1_1571	1.1e-126	420.6									
1	GB_GCA_013388565.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JACAEZ01;g__JACAEZ01;s__JACAEZ01 sp013388565	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Epsilonproteobacteria;o__Campylobacterales;x__unclassified Campylobacterales;s__Campylobacterales bacterium	JACAEZ010000208.1_6	2.4e-61	204.0	JACAEZ010000009.1_8	8.199999999999999e-90	298.4	JACAEZ010000009.1_6	7.6e-86	285.0																																	
2	GB_GCA_900753095.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp900753095	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;x__unclassified Eggerthellaceae;s__Eggerthellaceae bacterium	CAADXT010000087.1_4	3.1e-96	318.5	CAADXT010000148.1_4	3.9e-106	352.1	CAADXT010000148.1_5	4.5e-110	364.8																																	
3	RS_GCF_000018485.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_C	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis C6	NC_009975.1_310	1e-57	192.3	NC_009975.1_1821	6.9e-165	546.2	NC_009975.1_1820	4.1e-163	539.9																			NC_009975.1_497	1.5e-139	461.5	NC_009975.1_824	1.1e-126	420.6									
4	RS_GCF_006265165.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum thiosulfatiphilum	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum thiosulfatiphilum	NZ_VDCH01000012.1_37	1.4999999999999998e-91	303.8	NZ_VDCH01000015.1_12	1.2e-219	727.3	NZ_VDCH01000015.1_13	7.7e-201	664.7																									NZ_VDCH01000023.1_3	5.400000000000001e-162	536.5	NZ_VDCH01000023.1_1	6.6e-119	393.6	NZ_VDCH01000023.1_2	3.1e-194	643.6
5	RS_GCF_000308215.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus luminyensis	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus luminyensis	NZ_CAJE01000011.1_48	1.1000000000000002e-28	97.4	NZ_CAJE01000024.1_42	5.9e-211	698.7	NZ_CAJE01000024.1_43	1.3e-191	634.4										NZ_CAJE01000013.1_252	8e-177	583.4	NZ_CAJE01000013.1_248	3.8e-244	808.0	NZ_CAJE01000013.1_246	1.1e-285	944.8	NZ_CAJE01000012.1_41	5.2e-150	496.4	NZ_CAJE01000020.1_9	5.4e-280	927.8									
6	GB_GCA_903901395.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp903901395	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;x__environmental samples;s__uncultured Chlorobiales bacterium	CAIUQW010000178.1_17	5e-92	305.4	CAIUQW010000260.1_5	2.4999999999999997e-90	300.7	CAIUQW010000260.1_4	1.9e-97	323.9																																	
7	GB_GCA_016931495.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp016931495	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JAFGER010000001.1_20	5.8e-93	308.2	JAFGER010000034.1_2	1.2e-222	736.9	JAFGER010000034.1_1	4.8999999999999996e-138	457.4																																	
8	RS_GCF_001747405.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum limnaeum	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum limnaeum	NZ_CP017305.1_1994	1.9e-91	303.5	NZ_CP017305.1_616	4.5999999999999996e-222	735.3	NZ_CP017305.1_615	2.5000000000000002e-199	659.7																									NZ_CP017305.1_2391	4.5e-160	530.3	NZ_CP017305.1_2389	3.2e-117	388.1	NZ_CP017305.1_2390	1.1e-195	648.4
9	GB_GCA_900556935.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900556935	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium	USQL01000060.1_10	1.2e-93	310.6	USQL01000006.1_7	4e-57	191.0	USQL01000006.1_8	1.3e-72	241.9																																	
